"","x"
"134","Lozania klugii"
"135","Loxothysanus sinuatus"
"136","Lozanella enantiophylla"
"137","Lovoa trichilioides"
"138","Loxocarya gigas"
"139","Loxopterygium sagotii"
"140","Lozania pittieri"
"141","Ludovia integrifolia"
"142","Ludwigia abyssinica"
"143","Ludwigia affinis"
"144","Ludwigia adscendens"
"145","Pouteria gardneri"
"146","Luculia pinceana"
"147","Pouteria speciosa"
"148","Luculia gratissima"
"149","Pouteria campechiana"
"150","Ludwigia decurrens"
"151","Ludwigia alternifolia"
"152","Ludwigia elegans"
"153","Ludwigia alata"
"154","Ludwigia erecta"
"155","Ludwigia glandulosa"
"156","Ludwigia hyssopifolia"
"157","Ludwigia jussiaeoides"
"158","Ludwigia hirtella"
"159","Ludwigia latifolia"
"160","Ludwigia leptocarpa"
"161","Ludwigia nervosa"
"162","Ludwigia repens"
"163","Ludwigia microcarpa"
"164","Ludwigia maritima"
"165","Ludwigia octovalvis"
"166","Ludwigia peruviana"
"167","Ludwigia peploides"
"168","Ludwigia palustris"
"169","Ludwigia perennis"
"170","Ludwigia pilosa"
"171","Ludwigia stenorraphe"
"172","Ludwigia polycarpa"
"173","Luehea grandiflora"
"174","Luehea candicans"
"175","Luehea divaricata"
"176","Luehea candida"
"177","Luehea cymulosa"
"178","Luehea speciosa"
"179","Luehea seemannii"
"180","Luehea paniculata"
"181","Lunania parviflora"
"182","Lueheopsis hoehnei"
"183","Lueheopsis rosea"
"184","Lueheopsis duckeana"
"185","Lumnitzera racemosa"
"186","Luma apiculata"
"187","Luffa aegyptiaca"
"188","Luffa operculata"
"189","Luffa acutangula"
"190","Luetkea pectinata"
"191","Luffa quinquefida"
"192","Lumnitzera littorea"
"193","Lunania ekmanii"
"194","Lueheopsis rugosa"
"195","Luetzelburgia auriculata"
"196","Lunania cubensis"
"197","Lunaria annua"
"198","Lundia corymbifera"
"199","Lundia densiflora"
"200","Lundia cordata"
"201","Lupinus albifrons"
"202","Lupinus arboreus"
"203","Lundia spruceana"
"204","Lundia virginalis"
"205","Lupinus andersonii"
"206","Lupinus angustifolius"
"207","Lunularia cruciata"
"208","Lupinus argenteus"
"209","Lupinus arizonicus"
"210","Lupinus arbustus"
"211","Lupinus arcticus"
"212","Lupinus bogotensis"
"213","Lupinus campestris"
"214","Lupinus bicolor"
"215","Lupinus brevicaulis"
"216","Lupinus mexicanus"
"217","Lupinus excubitus"
"218","Lupinus chamissonis"
"219","Lupinus croceus"
"220","Lupinus microcarpus"
"221","Lupinus densiflorus"
"222","Lupinus latifolius"
"223","Lupinus kunthii"
"224","Lupinus sericeus"
"225","Lupinus formosus"
"226","Lupinus havardii"
"227","Lupinus hirsutissimus"
"228","Lupinus longifolius"
"229","Lupinus luteolus"
"230","Lupinus leucophyllus"
"231","Lupinus lepidus"
"232","Lupinus luteus"
"233","Lupinus micranthus"
"234","Lupinus nootkatensis"
"235","Lupinus mutabilis"
"236","Lupinus onustus"
"237","Lupinus polyphyllus"
"238","Lupinus nanus"
"239","Lupinus prunophilus"
"240","Lupinus princei"
"241","Lupinus rivularis"
"242","Lupinus pusillus"
"243","Lupinus sparsiflorus"
"244","Lupinus truncatus"
"245","Lupinus texensis"
"246","Lupinus stiversii"
"247","Lupinus succulentus"
"248","Lupinus stipulatus"
"249","Lupinus variicolor"
"250","Luzula campestris"
"251","Luzula abyssinica"
"252","Luzula banksiana"
"253","Luzula densiflora"
"254","Luzula bulbosa"
"255","Luzula chilensis"
"256","Luzula echinata"
"257","Luzula acuminata"
"258","Luzula africana"
"259","Luzula confusa"
"260","Luzula alopecurus"
"261","Luzula alpinopilosa"
"262","Luzula racemosa"
"263","Luzula gigantea"
"264","Luzula johnstonii"
"265","Luzula parviflora"
"266","Luzuriaga radicans"
"267","Luzuriaga polyphylla"
"268","Lycaste aromatica"
"269","Luzula wahlenbergii"
"270","Luzula spicata"
"271","Luzula forsteri"
"272","Lycaste cruenta"
"273","Luzuriaga marginata"
"274","Luzula multiflora"
"275","Luzula sudetica"
"276","Luzula sylvatica"
"277","Luzula lutea"
"278","Luzula nivea"
"279","Luzula luzuloides"
"280","Luzula pilosa"
"281","Silene chalcedonica"
"282","Silene latifolia"
"283","Silene flos-cuculi"
"284","Silene viscaria"
"285","Lycianthes asarifolia"
"286","Lycianthes heteroclita"
"287","Lycianthes cyathocalyx"
"288","Lycianthes biflora"
"289","Lycianthes lycioides"
"290","Lycianthes maxonii"
"291","Lycianthes synanthera"
"292","Lycianthes purpusii"
"293","Lycianthes pseudolycioides"
"294","Lycium richii"
"295","Lycium andersonii"
"296","Lycium californicum"
"297","Lycium americanum"
"298","Lycium cestroides"
"299","Lycium berlandieri"
"300","Lycium chinense"
"301","Lycium carolinianum"
"302","Lycium barbarum"
"303","Lycium bosciifolium"
"304","Lycium chilense"
"305","Lycium ameghinoi"
"306","Lycium shawii"
"307","Lycium torreyi"
"308","Lycium cuneatum"
"309","Lycium nodosum"
"310","Lycium exsertum"
"311","Lycium parishii"
"312","Lycium morongii"
"313","Lycium pallidum"
"314","Solanum lycopersicum"
"315","Lycium mascarenense"
"316","Lycium tweedianum"
"317","Lycium europaeum"
"318","Lycomormium fiskei"
"319","Lycium minimum"
"320","Lycium fremontii"
"321","Lycium tenuispinosum"
"322","Lycium elongatum"
"323","Lycium cooperi"
"324","Lycopodiella cernua"
"325","Lycopodiella caroliniana"
"326","Lycopodiella alopecuroides"
"327","Lycopodiella camporum"
"328","Lycopodiella affinis"
"329","Solanum pennellii"
"330","Lycopersicum esculentum"
"331","Lycopodiella carnosa"
"332","Lycopodium clavatum"
"333","Lycopodiella glaucescens"
"334","Lycopodiella iuliformis"
"335","Lycopodiella contexta"
"336","Lycopodiella pendulina"
"337","Lycopodiella riofrioi"
"338","Lycopodiella steyermarkii"
"339","Lycopodiella descendens"
"340","Lycopodiella trianae"
"341","Lycopodium arcturi"
"342","Huperzia miyoshiana"
"343","Lycopodiella appressa"
"344","Huperzia aqualupiana"
"345","Lycopodium alpinum"
"346","Lycopodium annotinum"
"347","Lycopodiastrum casuarinoides"
"348","Lycopodiella inundata"
"349","Lycopodiella geometra"
"350","Lycopodium dendroideum"
"351","Huperzia dichotoma"
"352","Lycopodium complanatum"
"353","Lycopodium jussiaei"
"354","Huperzia funiformis"
"355","Lycopodium deuterodensum"
"356","Lycopodium japonicum"
"357","Lycopodium confertum"
"358","Huperzia acerosa"
"359","Lycopodium thyoides"
"360","Lycopodium magellanicum"
"361","Lycopodium vestitum"
"362","Huperzia linifolia"
"363","Huperzia reflexa"
"364","Huperzia taxifolia"
"365","Lycopodium laterale"
"366","Lycopodium obscurum"
"367","Huperzia phlegmaria"
"368","Huperzia serrata"
"369","Lycopodiella prostrata"
"370","Huperzia lucidula"
"371","Huperzia selago"
"372","Lycopodium paniculatum"
"373","Lycopodium passerinoides"
"374","Huperzia wilsonii"
"375","Lycopodium volubile"
"376","Lycurus phleoides"
"377","Lycopus americanus"
"378","Lycopus uniflorus"
"379","Lycopus virginicus"
"380","Lycopus rubellus"
"381","Lycoris squamigera"
"382","Lycurus setosus"
"383","Lycopus asper"
"384","Lycoris aurea"
"385","Lycopus europaeus"
"386","Lygodium microphyllum"
"387","Lygodium japonicum"
"388","Lygodium kerstenii"
"389","Pleiacanthus spinosus"
"390","Lygodesmia texana"
"391","Lygodium conforme"
"392","Lygodium circinatum"
"393","Lyonothamnus floribundus"
"394","Lysiloma divaricatum"
"395","Lysiloma candida"
"396","Lysiloma acapulcense"
"397","Lysichiton camtschatcensis"
"398","Lysichiton americanus"
"399","Lyonia ligustrina"
"400","Lyonia ovalifolia"
"401","Lyonia ferruginea"
"402","Lyonia squamulosa"
"403","Lyonia lucida"
"404","Lyonia mariana"
"405","Lysiana subfalcata"
"406","Lyonia rubiginosa"
"407","Lyonia microcarpa"
"408","Lyonia truncata"
"409","Lyonia tuerckheimii"
"410","Lyonia urbaniana"
"411","Lyonia alainii"
"412","Lyonia buchii"
"413","Lyonia heptamera"
"414","Lysidice rhodostegia"
"415","Retama monosperma"
"416","Lyonia tinensis"
"417","Lysiloma latisiliquum"
"418","Lysimachia andina"
"419","Lysimachia nummularia"
"420","Lysimachia quadriflora"
"421","Lysimachia ciliata"
"422","Lysimachia clethroides"
"423","Lysimachia quadrifolia"
"424","Lysimachia terrestris"
"425","Lysimachia ruhmeriana"
"426","Lysimachia thyrsiflora"
"427","Lysipomia cuspidata"
"428","Lysimachia radicans"
"429","Lysimachia lanceolata"
"430","Lysimachia punctata"
"431","Lysiloma microphylla"
"432","Lysiloma sabicu"
"433","Lysimachia verticillaris"
"434","Lysimachia peduncularis"
"435","Lysimachia christinae"
"436","Lysimachia congestiflora"
"437","Lysimachia hybrida"
"438","Lysiloma watsonii"
"439","Lysimachia laxa"
"440","Bauhinia binata"
"441","Lysimachia nemorum"
"442","Lysimachia vulgaris"
"443","Lysimachia lobelioides"
"444","Mabea occidentalis"
"445","Lythrum hyssopifolia"
"446","Lythrum maritimum"
"447","Lythrum salicaria"
"448","Lythrum alatum"
"449","Maba tropophylla"
"450","Lysipomia sphagnophila"
"451","Maackia amurensis"
"452","Lythrum californicum"
"453","Lythrum lineare"
"454","Lythrum portula"
"455","Lythrum junceum"
"456","Mabea piriri"
"457","Mabea klugii"
"458","Mabea fistulifera"
"459","Mabea biglandulosa"
"460","Mabea nitida"
"461","Macaranga alnifolia"
"462","Mabea subsessilis"
"463","Mabea speciosa"
"464","Macaranga alchorneoides"
"465","Macairea rufescens"
"466","Macairea parvifolia"
"467","Macadamia francii"
"468","Macadamia angustifolia"
"469","Macadamia vieillardii"
"470","Macadamia integrifolia"
"471","Macadamia leptophylla"
"472","Mabea subserrulata"
"473","Macadamia neurophylla"
"474","Macadamia jansenii"
"475","Mabrya erecta"
"476","Macadamia grandis"
"477","Macaranga barteri"
"478","Macaranga capensis"
"479","Macaranga kilimandscharica"
"480","Macaranga gigantea"
"481","Macaranga coriacea"
"482","Macaranga corymbosa"
"483","Macaranga denticulata"
"484","Macaranga hullettii"
"485","Macaranga ferruginea"
"486","Macaranga conglomerata"
"487","Macaranga hispida"
"488","Macaranga mappa"
"489","Macaranga lowii"
"490","Macaranga tanarius"
"491","Macaranga peltata"
"492","Macaranga vedeliana"
"493","Macaranga vieillardii"
"494","Macarisia pyramidata"
"495","Macbrideina peruviana"
"496","Machaerium arboreum"
"497","Machaerium biovulatum"
"498","Machaerium aristulatum"
"499","Machaerium acutifolium"
"500","Machaerina montana"
"501","Machaerina flexuosa"
"502","Xanthisma gracile"
"503","Dieteria canescens"
"504","Xanthisma spinulosum"
"505","Machaeranthera tanacetifolia"
"506","Machaerium aculeatum"
"507","Ericameria nauseosa"
"508","Machaeranthera tagetina"
"509","Dieteria bigelovii"
"510","Machaeranthera crispa"
"511","Machaerium kegelii"
"512","Machaerium floribundum"
"513","Machaerium cobanense"
"514","Machaerium seemannii"
"515","Machaerium dubium"
"516","Machaerium incorruptibile"
"517","Machaerium brasiliense"
"518","Machaerium millei"
"519","Machaerium lunatum"
"520","Machaerium microphyllum"
"521","Machaerium minutiflorum"
"522","Machaerium paraguariense"
"523","Machaerium madeirense"
"524","Machaerium milleflorum"
"525","Machaerium opacum"
"526","Machaerium quinata"
"527","Machaerium stipitatum"
"528","Machaerium pilosum"
"529","Machaerium scleroxylon"
"530","Machaerium villosum"
"531","Macleania bullata"
"532","Macleania cordifolia"
"533","Macleania coccoloboides"
"534","Machaonia portoricensis"
"535","Mackinlaya macrosciadea"
"536","Machilus tenuipilis"
"537","Machaonia hahniana"
"538","Maclura tinctoria"
"539","Macoubea guianensis"
"540","Maclura amboinensis"
"541","Maclura pomifera"
"542","Maclura brasiliensis"
"543","Maclura cochinchinensis"
"544","Maclura africana"
"545","Macledium spinosum"
"546","Macrocarpaea sodiroana"
"547","Macoubea mesoamericana"
"548","Macrocentrum cristatum"
"549","Macrocnemum roseum"
"550","Macroclinium bicolor"
"551","Macrocentrum repens"
"552","Macrocentrum yaracuyense"
"553","Macrolobium acaciifolium"
"554","Macrolobium angustifolium"
"555","Macrohasseltia macroterantha"
"556","Macrolobium microcalyx"
"557","Macrolobium limbatum"
"558","Macrolobium ischnocalyx"
"559","Macrolobium hartshornii"
"560","Macrolobium multijugum"
"561","Macrolobium colombianum"
"562","Macrolobium costaricense"
"563","Macrolobium bifolium"
"564","Macrolobium archeri"
"565","Macrolobium gracile"
"566","Macrolobium herrerae"
"567","Macrolobium latifolium"
"568","Macroptilium atropurpureum"
"569","Macropiper excelsum"
"570","Macropanax dispermus"
"571","Macropeplus ligustrinus"
"572","Macroptilium lathyroides"
"573","Macroptilium gracile"
"574","Matelea hirsuta"
"575","Macroscepis diademata"
"576","Macrothelypteris torresiana"
"577","Macrostelia laurina"
"578","Macrosiphonia longiflora"
"579","Macrosiphonia velame"
"580","Macrosphyra longistyla"
"581","Macrosolen cochinchinensis"
"582","Macrozamia communis"
"583","Macrozamia stenomera"
"584","Macrozamia moorei"
"585","Macrozamia miquelii"
"586","Macrozamia fawcettii"
"587","Maerua edulis"
"588","Maerua angolensis"
"589","Maerua juncea"
"590","Maerua filiformis"
"591","Maerua nuda"
"592","Maerua crassifolia"
"593","Maerua kirkii"
"594","Maerua triphylla"
"595","Maerua prittwitzii"
"596","Maerua holstii"
"597","Macrotyloma uniflorum"
"598","Macrotyloma africanum"
"599","Macrotyloma axillare"
"600","Madia elegans"
"601","Madia gracilis"
"602","Madia glomerata"
"603","Madia sativa"
"604","Madia exigua"
"605","Magnistipula butayei"
"606","Maesopsis eminii"
"607","Maesa lanceolata"
"608","Magnolia splendens"
"609","Magnolia panamensis"
"610","Magnolia fraseri"
"611","Magnolia guatemalensis"
"612","Magnolia tripetala"
"613","Magnolia mahechae"
"614","Magnolia kachirachirai"
"615","Magnolia grandiflora"
"616","Magnolia acuminata"
"617","Magnolia pallescens"
"618","Magnolia virginiana"
"619","Magnolia iltisiana"
"620","Magnolia portoricensis"
"621","Magnolia cubensis"
"622","Magnolia poasana"
"623","Magnolia sororum"
"624","Magnolia schiedeana"
"625","Magnolia praecocissima"
"626","Magnolia liliiflora"
"627","Magnolia denudata"
"628","Magnistipula zenkeri"
"629","Magnolia macrophylla"
"630","Magnolia obovata"
"631","Magnolia biondii"
"632","Magnolia tamaulipana"
"633","Magnolia pacifica"
"634","Magnolia officinalis"
"635","Maesa montana"
"636","Maesa indica"
"637","Magnolia soulangeana"
"638","Maesobotrya vermeulenii"
"639","Magnolia rostrata"
"640","Magnolia sambuensis"
"641","Magnolia gloriensis"
"642","Magnolia sharpii"
"643","Magnolia coco"
"644","Magonia pubescens"
"645","Mahurea exstipulata"
"646","Maianthemum dilatatum"
"647","Maianthemum canadense"
"648","Berberis aquifolium"
"649","Berberis repens"
"650","Magnolia yoroconte"
"651","Mahonia volcania"
"652","Berberis trifoliolata"
"653","Berberis higginsiae"
"654","Maianthemum bifolium"
"655","Berberis pinnata"
"656","Maihuenia poeppigii"
"657","Maieta guianensis"
"658","Maianthemum racemosum"
"659","Maianthemum purpureum"
"660","Maianthemum stellatum"
"661","Malachra alceifolia"
"662","Malachra fasciata"
"663","Malachra capitata"
"664","Pouteria alnifolia"
"665","Maireana georgei"
"666","Malacomeles denticulata"
"667","Malacothamnus fasciculatus"
"668","Malanea boliviana"
"669","Malacothrix clevelandii"
"670","Malagasia alticola"
"671","Malacothrix glabrata"
"672","Malacothrix californica"
"673","Malacothrix coulteri"
"674","Malaisia scandens"
"675","Eremobium aegyptiacum"
"676","Malleastrum isalense"
"677","Malleastrum antsingyense"
"678","Malesherbia humilis"
"679","Liparis nervosa"
"680","Malesherbia linearifolia"
"681","Malcolmia maritima"
"682","Malaxis unifolia"
"683","Oberonia padangensis"
"684","Malesherbia lirana"
"685","Malesherbia rugosa"
"686","Malleastrum mandenense"
"687","Mallotus oppositifolius"
"688","Mallotus philippensis"
"689","Mallotus macrostachyus"
"690","Malouetia guatemalensis"
"691","Malouetia furfuracea"
"692","Pseudomalmea diclina"
"693","Malmea dielsiana"
"694","Malmea depressa"
"695","Mallotus barbatus"
"696","Malmea dimera"
"697","Mallotus paniculatus"
"698","Mallotus peltatus"
"699","Mallotus repandus"
"700","Malouetia bequaertiana"
"701","Malosma laurina"
"702","Mallotus floribundus"
"703","Malpighia emarginata"
"704","Malpighia glabra"
"705","Malpighia albiflora"
"706","Malpighia coccigera"
"707","Malouetia tamaquarina"
"708","Malouetia naias"
"709","Malpighia romeroana"
"710","Malpighia ovata"
"711","Malpighia infestissima"
"712","Malpighia setosa"
"713","Malus pumila"
"714","Malus ioensis"
"715","Malus mandshurica"
"716","Malus sargentii"
"717","Malus fusca"
"718","Malus yunnanensis"
"719","Malus floribunda"
"720","Malus baccata"
"721","Malus tschonoskii"
"722","Malva sylvestris"
"723","Malva verticillata"
"724","Malva parviflora"
"725","Malva nicaeensis"
"726","Malva neglecta"
"727","Malva pusilla"
"728","Malva moschata"
"729","Malus angustifolia"
"730","Malus sylvestris"
"731","Malus coronaria"
"732","Malus domestica"
"733","Malus sieboldii"
"734","Malvastrum americanum"
"735","Malvastrum guatemalense"
"736","Malvastrum coromandelianum"
"737","Malvastrum corchorifolium"
"738","Malvastrum interruptum"
"739","Malvastrum grandiflorum"
"740","Malvastrum hispidum"
"741","Malvastrum amblyphyllum"
"742","Malacothamnus abbottii"
"743","Malvastrum bicuspidatum"
"744","Malvaviscus arboreus"
"745","Malvastrum scoparioides"
"746","Malvastrum tomentosum"
"747","Malvastrum spiciflorum"
"748","Malvaviscus palmanus"
"749","Malvaviscus williamsii"
"750","Mammea americana"
"751","Mammea africana"
"752","Malvella leprosa"
"753","Mancoa hispida"
"754","Mandevilla benthamii"
"755","Mandevilla boliviensis"
"756","Manaosella cordifolia"
"757","Epithelantha micromeris"
"758","Mammillaria prolifera"
"759","Mammillaria crinita"
"760","Mammillaria candida"
"761","Mammillaria plumosa"
"762","Mammillaria bocasana"
"763","Mandevilla hirsuta"
"764","Mandevilla callista"
"765","Mandevilla cercophylla"
"766","Mandevilla glandulosa"
"767","Mandevilla fragrans"
"768","Mandevilla dodsonii"
"769","Mandevilla jamesonii"
"770","Mandevilla illustris"
"771","Mandevilla foliosa"
"772","Mandevilla holosericea"
"773","Mandevilla karwinskii"
"774","Mandevilla coccinea"
"775","Mandevilla emarginata"
"776","Mandevilla convolvulacea"
"777","Mandevilla laxa"
"778","Mandevilla rugellosa"
"779","Mandevilla pentlandiana"
"780","Mandevilla scabra"
"781","Mandevilla pohliana"
"782","Mandevilla splendens"
"783","Mandevilla rugosa"
"784","Mandevilla oaxacana"
"785","Mandevilla moricandiana"
"786","Mandevilla sellowii"
"787","Mandevilla sancta"
"788","Mandevilla myriophyllum"
"789","Mandevilla pycnantha"
"790","Mandevilla spigeliiflora"
"791","Mandevilla subsagittata"
"792","Mandevilla villosa"
"793","Mandevilla tubiflora"
"794","Mandevilla urophylla"
"795","Manekia naranjoana"
"796","Manekia sydowii"
"797","Mandevilla tenuifolia"
"798","Mandevilla syrinx"
"799","Manihot aesculifolia"
"800","Mangifera indica"
"801","Manicaria saccifera"
"802","Manettia reclinata"
"803","Manfreda virginica"
"804","Magnolia insignis"
"805","Manihot esculenta"
"806","Manihot anomala"
"807","Manihot brachyloba"
"808","Manihot carthaginensis"
"809","Manihot chlorosticta"
"810","Manihot grahamii"
"811","Manihot guaranitica"
"812","Manihot rubricaulis"
"813","Manihot pauciflora"
"814","Manilkara staminodella"
"815","Manilkara chicle"
"816","Manilkara bidentata"
"817","Manilkara obovata"
"818","Manilkara jaimiqui"
"819","Manilkara inundata"
"820","Manilkara fouilloyana"
"821","Manilkara sansibarensis"
"822","Manilkara discolor"
"823","Manilkara dissecta"
"824","Manilkara pellegriniana"
"825","Manilkara mochisia"
"826","Manilkara zapota"
"827","Manilkara paraensis"
"828","Manilkara butugi"
"829","Manilkara excelsa"
"830","Manilkara salzmannii"
"831","Manilkara pleeana"
"832","Manilkara rufula"
"833","Manilkara huberi"
"834","Manilkara cavalcantei"
"835","Manilkara maxima"
"836","Manotes macrantha"
"837","Manotes griffoniana"
"838","Manotes expansa"
"839","Maniltoa psilogyne"
"840","Manilkara sulcata"
"841","Mansoa difficilis"
"842","Mansoa alliacea"
"843","Manilkara triflora"
"844","Mansoa parvifolia"
"845","Mansoa standleyi"
"846","Mansoa kerere"
"847","Mansoa hirsuta"
"848","Mansoa lanceolata"
"849","Mansonia altissima"
"850","Mansoa verrucifera"
"851","Psychotria aegialodes"
"852","Manulea benthamiana"
"853","Manulea androsacea"
"854","Maprounea guianensis"
"855","Maprounea africana"
"856","Maprounea membranacea"
"857","Maquira coriacea"
"858","Maquira calophylla"
"859","Maquira guianensis"
"860","Maquira costaricana"
"861","Mappia longipes"
"862","Mappia racemosa"
"863","Psychotria carthagenensis"
"864","Maranta arundinacea"
"865","Marah gilensis"
"866","Maranta gibba"
"867","Marah oregana"
"868","Maquira sclerophylla"
"869","Pleiostachya pruinosa"
"870","Maranthes aubrevillei"
"871","Maranta leuconeura"
"872","Marattia excavata"
"873","Marattia interposita"
"874","Marattia laxa"
"875","Marattia weinmanniifolia"
"876","Marathrum oxycarpum"
"877","Maranthes glabra"
"878","Maranthes panamensis"
"879","Maranthes gabunensis"
"880","Maranthes floribunda"
"881","Maranthes polyandra"
"882","Marantochloa leucantha"
"883","Marantochloa purpurea"
"884","Marantochloa cordifolia"
"885","Marantochloa mildbraedii"
"886","Maranthes corymbosa"
"887","Marathrum rubrum"
"888","Marattia pellucida"
"889","Marcgravia coriacea"
"890","Marcgravia crenata"
"891","Marcgravia brownei"
"892","Marcetia taxifolia"
"893","Marcgravia rectiflora"
"894","Marcgravia schippii"
"895","Marcgravia nepenthoides"
"896","Marcgravia purpurea"
"897","Marcgravia mexicana"
"898","Marcgravia sintenisii"
"899","Marcgravia pedunculosa"
"900","Marcgravia polyantha"
"901","Marcgravia stonei"
"902","Marcgravia tobagensis"
"903","Marcgravia umbellata"
"904","Marcgravia oligandra"
"905","Marcgraviastrum subsessile"
"906","Mareya micrantha"
"907","Marchantia polymorpha"
"908","Margaritaria discoidea"
"909","Margaritaria decaryana"
"910","Margaritaria nobilis"
"911","Margaritaria anomala"
"912","Margaranthus solanaceus"
"913","Margaritaria indica"
"914","Margaritaria rhomboidalis"
"915","Margaritaria tetracocca"
"916","Margyricarpus pinnatus"
"917","Marila grandiflora"
"918","Sisyrinchium tinctorium"
"919","Marina parryi"
"920","Maripa panamensis"
"921","Maripa axilliflora"
"922","Maripa glabra"
"923","Marina diffusa"
"924","Marina nutans"
"925","Marina neglecta"
"926","Mariosousa dolichostachya"
"927","Mariosousa acatlensis"
"928","Cyperus cyperoides"
"929","Cyperus cyperinus"
"930","Cyperus hemisphaericus"
"931","Cyperus distans"
"932","Cyperus dubius"
"933","Cyperus ferrugineoviridis"
"934","Cyperus squarrosus"
"935","Cyperus ligularis"
"936","Maripa peruviana"
"937","Maripa paniculata"
"938","Maripa scandens"
"939","Markea ulei"
"940","Markea coccinea"
"941","Cyperus congestus"
"942","Maripa repens"
"943","Marmaroxylon basijugum"
"944","Marmaroxylon racemosum"
"945","Marlierea tomentosa"
"946","Marlierea schomburgkiana"
"947","Markhamia obtusifolia"
"948","Markhamia lutea"
"949","Markhamia zanzibarica"
"950","Markhamia tomentosa"
"951","Markhamia acuminata"
"952","Markhamia platycalyx"
"953","Marojejya darianii"
"954","Markhamia stipulata"
"955","Marlierea montana"
"956","Marquesia excelsa"
"957","Marsdenia astephanoides"
"958","Marsdenia altissima"
"959","Marsdenia lanata"
"960","Marsdenia coulteri"
"961","Marrubium vulgare"
"962","Marsdenia crassipes"
"963","Marsdenia flavescens"
"964","Marsdenia macrophylla"
"965","Marsdenia truncata"
