"","tmin.mean","tmin.sd","tmin.01","tmin.025","tmin.05","tmin.50","tmin.95","tmin.975","tmin.99","tseas.mean","tseas.sd","tseas.01","tseas.025","tseas.05","tseas.50","tseas.95","tseas.975","tseas.99","pmin.mean","pmin.sd","pmin.01","pmin.025","pmin.05","pmin.50","pmin.95","pmin.975","pmin.99","pseas.mean","pseas.sd","pseas.01","pseas.025","pseas.05","pseas.50","pseas.95","pseas.975","pseas.99","gbif.records"
"Litsea calicaris",60.3333333333333,33.4382662089233,-43.49,-17.225,26.55,65.5,90.05,93.025,94.81,3123.94444444444,365.330063853983,2691.45,2713.125,2749.25,3099.5,3487.25,3944.125,4218.25,92.0555555555556,28.0093938490437,58,58,58,93,129.35,150.175,162.67,19.5,4.64314801933039,11,11,11,19,25,25,25,18
"Lonicera chrysantha",-43.53125,63.4482824975333,-211.06,-164.325,-151.05,-24,23.4499999999998,37,37,6991.2375,1842.00738697738,4660,4792,4792,6356,9741.04999999999,11346.6,12511.48,11.99375,10.719110586285,2,2,2,8,28,28.05,37.23,77.41875,20.9874091859768,43.67,49,49,79,115,115,115,160
"Lonicera maackii",-39.1111111111111,45.7616312613299,-146.79,-111.15,-104,-42.5,24,33,42.3300000000003,8141.84722222222,1748.83303120192,4131.49,4219.8,4314,8675,9900.1,10096.05,11164.85,36.5944444444444,26.2766929617344,2,3,3.95,28,84,85.025,90,46.4444444444444,27.6617496273854,7,7,8,49,89.05,103,103,360
"Lophomyrtus obcordata",37.0606060606061,19.2304111272019,-1,-1,4.4,40,58.2,66.0000000000001,80.4,3356.84848484848,208.655385925592,2857.48,3020.2,3100.6,3326,3677.4,3701.4,3714.36,75.3636363636364,27.1141316726838,18.48,37.2,46.8,70,122.2,124,124,22.8181818181818,11.5066680273183,10.64,11.6,12,20,34,42.0000000000001,61.2,37
"Lyonia lucida",37,62.4373784644118,-173.38,-122.875,-46.15,39,166.95,170,173.12,6080.75806451613,1424.99823049052,2054.3,2105,2198.05,6292,7756.4,7945.75,8491.03,66.1935483870968,19.4463016077333,13.81,24.1,34,72,87,88.95,90.78,29.6129032258065,18.2328786417354,14.05,16,16.05,22,61,61,85.96,63
"Lyonia ovalifolia",5.30769230769231,45.1576344767189,-123.72,-93,-72,5,73,93,137.72,6061.62015503876,1763.56061793343,2258,2914,3426.8,6033,8397.4,8594,8675,31.1156827668456,26.9648577711819,3,3,4,19,84,94,118,67.2510435301133,18.6121273157657,35.76,38,40,64,97,103,108,1677
"Lyonothamnus floribundus",76.2363636363636,14.7251021905918,34.88,52.4,59,84,92,92,92.06,2680.69292929293,507.521502556484,2026,2026,2026,2648,3087,3136,4824.6,0.0848484848484849,0.830146033244066,0,0,0,0,0,1,2.06,94.6242424242424,5.35049074349001,82.64,89,90,94,100,101,101,586
"Maclura cochinchinensis",111.263779527559,56.3968163513042,-2.93,8,25,108,209.65,218,222.72,3093.97244094488,1521.31683175861,225.77,304,540,3333,4873,6904.825,8016.71,52.1259842519685,38.6448436259166,4,5,10.35,43,128,173,183,55.4468503937008,25.6158683622848,16,20.35,22,47,105,105,105,526
"Maclura pomifera",-40.8394793926247,52.3276076745896,-108.4,-105,-100,-64,47,57,68,8081.76355748373,2048.0032254283,3405,3825,4163,9032,10120,10267.5,10335.6,30.5379609544469,22.6727467929583,0,0,1,26,79,84,85,43.2971800433839,21.5226011809859,7,7.5,12,43,85,90.5,96,461
"Maclura tricuspidata",13.478527607362,42.1196616096921,-90.28,-52.85,-43.7,7,94.4,99.8,113.64,7358.46012269939,1586.81454432815,3705.88,3994.65,4376.9,7814,9222.3,9311,9769.26,33.3558282208589,15.8860451929215,3.24,5,9,34,52.7,69.3499999999999,79.28,61.5460122699387,16.0793566198555,24.54,40,41,59,89.9,93.9,101.04,164
