"","tmin.mean","tmin.sd","tmin.01","tmin.025","tmin.05","tmin.50","tmin.95","tmin.975","tmin.99","tseas.mean","tseas.sd","tseas.01","tseas.025","tseas.05","tseas.50","tseas.95","tseas.975","tseas.99","pmin.mean","pmin.sd","pmin.01","pmin.025","pmin.05","pmin.50","pmin.95","pmin.975","pmin.99","pseas.mean","pseas.sd","pseas.01","pseas.025","pseas.05","pseas.50","pseas.95","pseas.975","pseas.99","gbif.records"
"Cabralea canjerana",113.690285714286,42.0298339532522,34,36,57.4,103,195,200,204.26,2006.63542857143,949.340098820494,356.84,394.25,433.4,2172,3400,3529,3620,63.4925714285714,51.2915646232766,2,4,6,53,182.3,194.15,208.04,46.9988571428571,23.8375268742286,8,10,12,46,86,87,91,878
"Caesalpinia paraguariensis",96.6279069767442,39.3284891482357,12,13.35,36.7,99,151.3,154.65,161,3584.04186046512,879.136796855477,1833.2,1956,2072.5,3628,4956,5061.3,5639.09999999999,15.3813953488372,14.6913296290092,0,1,1,9,46.3,50.95,52.86,65.8837209302326,20.6951722465477,33,34,35.7,63,97,100,108.72,215
"Calophyllum brasiliense",165.120272314675,35.8201187310442,84.21,98,108,162,221,225,226,1053.39636913767,651.534315788463,247,271.075,323.2,916,2385.7,2763.725,2885.53,54.0574886535552,51.6056469196072,1,2,2,40,154.9,188,213.9,54.7352496217852,19.6156740570213,16,17,21,55.5,85.95,91,93.79,1338
"Camellia brevistyla",92.9615384615385,51.3740093213183,1.95,8,14.75,106,158,158,158,4192.58974358974,1934.55036993861,2565,2565,2670,3237,8198.25,8374,8477.2,66.224358974359,41.5994065897423,0,21,24,53,137,161.875,182,68.4615384615385,25.1443278065585,16.5,30,36.25,64.5,96,97,97,158
"Camellia caudata",95.4741379310345,45.3192544741575,7.17,12,17.65,100,146,149.025,162,4422.21551724138,1747.84285753896,2533,2533,2587,4083,7435,7539.8,7924.67,42.9181034482759,21.2901460820973,1,7.325,9,47,69,87.1749999999999,133,74.2543103448276,17.5464745524361,42.31,43,48,72,94,98.225,103.83,232
"Camellia japonica",21.1616161616162,61.6317804844255,-56,-53,-48.35,1,125,144,151.14,6385.37205387205,2070.09653169844,400.88,2372.525,2864,7432,8327.45,8587.47499999999,8739.77,61.8367003367003,38.4790773382602,4.93,12,22.3,51,146,182,188,47.2138047138047,18.6121253158054,14,18,21,43,94,94,95,604
"Camellia oleifera",48.0486725663717,40.0186466849045,-18,-8,-6,41,117.45,127.175,135.47,6244.55973451327,1526.18693396303,2960.81,3393,3393,6585.5,8262,8502.8,8684,32.9336283185841,21.850733742294,0,3.55,7,32,52.45,103,137,64.9469026548673,15.1311140114584,32.53,34,46,61,94,97,97,456
"Camellia sinensis",41.7240684793555,59.1669180224008,-71.88,-46,-35.4,23,147,171,180,5707.82678751259,2121.12697292967,567,706,1804,6195,8143,8291.2,8675,41.7623363544814,34.7623833728608,3.92,6,10,37,119,165,175,61.1450151057402,18.6949492334023,19,30,36,59,93,94,97,1001
"Capparis spinosa",50.2232258064516,75.1528019831029,-188.78,-150.3,-111,51,163.2,193.25,218.34,5605.05290322581,1750.47600644385,618,1772.5,2199.8,5598,9145,9560.4,9757.16,9.90064516129032,22.6332788093274,0,0,0,5,26.3,51,165.1,63.578064516129,26.3126458602394,19,23,34,56,111,125,130,817
"Carapa grandiflora",122.675675675676,30.7634830910268,81,81,83.4,113,180.6,196.7,205.88,703.837837837838,307.582555631051,189,189,189,919,995.4,1013.5,1016.2,17.5675675675676,10.0070545687101,3,3,3,17,36.4,38.8,43.12,60.4864864864865,12.2896108373917,38.08,39.7,40,69,73,73,73,37
"Carapa guianensis",200.872756933116,22.9635998920309,113.08,149,167,203,225,225,226.88,562.58075040783,248.073483120507,183.92,220.6,278,508,1162.6,1239,1467,88.9755301794454,77.4664446960377,7,12,19.6,62,265.799999999999,305.4,438.76,46.2936378466558,17.5856979725673,16,18,20,45,78,84,87,615
"Carapa procera",191.210687022901,23.2993065085217,129.78,140,145,200,219,223.3,225,827.299236641221,322.574822056999,304.56,417.45,433,796,1242.4,1615.29999999999,2187.1,36.7404580152672,32.0464083839325,0,0,2,25,81,98.5999999999999,144,61.3404580152672,16.8754693155985,21,29,35,61,83,112.6,123,659
"Carpinus betulus",-31.2635983263598,21.9530737210274,-87.67,-74.525,-70,-30,5.34999999999991,33,49,6554.16736401674,675.894547117001,4078,4657,5388.3,6572,7539,7813,8535.04,37.6241283124128,10.4535794782533,21,24,27,34,59,65,72.6700000000001,24.9944211994421,7.4016442303752,11,12,15,24,37.3499999999999,42.175,54.6700000000001,1434
"Carpodetus serratus",24.3695652173913,31.634972697705,-36,-34.625,-21.25,21.5,81.5,83.875,87.3,3398.54347826087,332.224335620893,2789,2822,2908,3337,3884.75,4002.125,4182.55,107.391304347826,59.6185945120665,44.65,54.375,57,91,210.25,211.875,276.9,16.5,3.51346615814703,12.45,13,13,15.5,23,23,25.2,48
"Caryocar glabrum",195.096774193548,27.1377649592876,107.52,116.2,151,202,223,225,226,477.311827956989,129.97206086497,278.84,326.8,336.8,450,669.6,701,729.36,96.3225806451613,56.476414303993,3,5.2,8.2,90,197,199,210.72,40.9096774193548,16.9607944503522,14,16,17,42,71.8,75.4,80,465
"Castanopsis indica",125.950354609929,34.0953918763924,20.62,42.2,65.1,128,170,173.925,174,3303.86170212766,915.684846883878,2533,2601.175,2623,3172,5179.5,5483.925,7210,28.7695035460993,21.5660879277421,6,7,9,21,62.85,65,133,87.8723404255319,13.4526194059053,39,63.025,72,91,103,107,107,286
"Castanospermum australe",114.928977272727,48.5035089761208,22,40,49,109,194,218,218.49,2848.97159090909,950.836719120108,293,365,908,2710,4193,4439.225,4557,42.0994318181818,29.5720434644278,1,3,6.65,36.5,92,154,166,66.8068181818182,23.3281351741173,20.59,27.775,32,74,101.45,112.225,113.49,373
"Casuarina cunninghamiana",71.5767301905717,54.3422829387984,-21.04,-6.1,-3,62,166,172.2,174.04,3968.52357071214,1220.84546412936,584,1122.4,1844,4025,5632,5703.5,6394.72,28.6830491474423,21.7656799301533,0,0,0,30,57.3999999999999,65,74.04,57.4162487462387,34.0214062186543,11,12,13,47,114,118,121,1002
"Casuarina equisetifolia",156.647747747748,51.5220392787608,46,49.725,69,159,227,230,232.91,2286.16756756757,1410.07167121864,218,232.725,301.6,2243,4702.4,5458,6609,43.2775290957923,49.7438237190331,0,0,0,28,152,192,207,65.5210384959714,31.0296533453756,12.16,19,23,60,114.4,121.1,125,1348
"Catalpa bignonioides",-30.8039215686275,51.2165464496587,-135.46,-130.1,-104,-31,48.4999999999999,64.8500000000001,79,7226.70980392157,1674.48866860348,3631,3900.35,4262.4,7383,9694.7,9779.6,9856.92,41.8627450980392,30.13945252877,0.54,1.35,2,42,86,87.65,90.46,32.5058823529412,24.2288743256567,6.54,7,7,21,81,86,90.92,255
"Catalpa speciosa",-56.1472081218274,45.1877450293674,-113.88,-104.1,-101,-73,24,46.1,52.16,8606.8578680203,1622.79195672072,4167.4,4354,5193,9157,10039,10131,10341.64,35.3197969543147,26.05418733159,1,1,2,28,86,87.1,88,39.6903553299492,21.3945100333467,6.96,7,7,45,81.2,82,84,197
"Cavanillesia platanifolia",210.469387755102,14.4122373361673,171.16,180.4,184,216,223,226.2,228.56,519.734693877551,207.122726854375,226.44,228.2,237.4,484,917,945.8,962.44,46.5510204081633,76.3773693643635,0.48,1,1,28,231.199999999999,330,333.12,59.5510204081633,24.3396634670053,20.44,22,27.2,56,119,119,119.52,51
"Cedrela odorata",164.982914572864,39.1358711158409,60.88,69,87,170,216,220,223,1085.19798994975,796.978513197799,243.4,279,323.5,784,2882.1,3474,3706.3,61.3165829145729,64.9860322121452,0,1,2.7,40,199,232.35,276,53.7316582914573,23.953370042274,13.94,14,16,52,95,102,108.06,1008
"Cedrelinga cateniformis",191.707762557078,28.4618928241961,81,90.9,147.7,196,225,225,226.82,523.054794520548,189.283963932861,241.4,296.7,343.8,464,1055,1118.85,1172.32,114.986301369863,62.3860046240712,3.9,12.9,25.9,95,200,210,219.92,34.8630136986301,16.0663604361706,12,14,14.9,40,60.2,68.1999999999999,75,220
"Ceiba pentandra",180.259640102828,35.5475564273084,61.24,105.55,126.85,186,220,223,228,1007.02827763496,821.419939705669,217,263.7,307.8,797,2384.25,2920.225,3498.07000000001,41.7840616966581,48.5100491435401,0,0,0.850000000000001,28,133.3,185.575,230,61.4344473007712,24.5839814755386,15.77,18.425,24.7,60,105,123.575,136.69,799
"Dacrycarpus dacrydioides",38.5782608695652,23.1041019160342,-3.84,0,4,36,76.1,77.825,81.71,3266.93913043478,251.99564309523,2839.51,2891.575,2907.55,3210,3738.5,3856.75,3916.81,109.182608695652,56.6732121141102,45.58,50.725,54.9,92,233,258.55,284.71,17.8913043478261,4.58318676374144,10.29,11,12,17.5,25,27.275,31.71,232
"Dracophyllum strictum",29.4333333333333,20.0046259018074,-42.25,-9.62499999999999,15.5,32,47,47,47,3429.53333333333,185.855289151929,3144,3144,3144,3447,3648.05,3698.65,3770.86,104.9,34.3424438308613,68,68,69.35,102,131.55,173.175,224.07,15.0333333333333,3.09040041299565,11.29,11.725,12,14,21,21.55,22.42,30
"Drypetes lateriflora",149.040322580645,27.366051960323,89.61,95,95,152,190,192,197.85,1715.98387096774,1128.84375685035,655,655,655,1646,4409,4409,4409,46.9838709677419,18.8502803977195,14.69,17.15,19.6,45.5,81.4,96.25,97,53.0887096774194,10.2885302756079,25.23,26.075,29.3,53,66.55,80,88,124
"Duabanga moluccana",208.328185328185,25.8192212702916,112,132,157.7,216,230,230,230,362.471042471042,188.99881600895,180,183,185,255,745,858.899999999999,910,124.393822393822,43.6256018867802,29.38,43,71,116,220,230,236,22.8223938223938,8.46832449949805,9,12,13,22,36,46,57.5199999999998,269
"Elaeocarpus hookerianus",21.6551724137931,23.0794835639005,-3.88,-2.2,-1,15,49,60.7,77.08,3444.48275862069,265.32589404214,2879.32,3002.8,3119.4,3354,3845.2,3857,3861.2,104.448275862069,59.7097660155813,53,53,54.6,94,234,284.3,284.72,17.3448275862069,6.5425850181111,10,10,10,15,27,29.1,32.04,31
"Elaeocarpus japonicus",52.7554479418886,46.6880345849258,-24,-7,-5,40,151,155.4,156,5968.1210653753,1692.84600509263,2641,2661.1,3132.2,6577,8214,8269.7,8306,57.0677966101695,39.777051663809,10,10,13,46,146,152,176,57.0193704600484,17.5793516506465,18,19,22,57,90.5999999999999,96.1,100,432
"Eriobotrya japonica",70.1091954022989,58.2216424241731,-58,-26.9,-8,60.5,172,192.875,217.37,3870.91570881226,2400.95542014874,213,266.375,387.55,3838,7562,8142.15,8657.9,36.1973180076628,27.627376483712,1,2,3,34,88,101,116,50.2816091954023,22.8857465740991,10,12,13.05,45,88.95,93,98.5799999999999,522
"Erythrophleum ivorense",196.443181818182,18.0385931211165,140,159.65,162.95,200,216,217,218.61,878.056818181818,117.589374525263,685,700,726.55,883,1086.1,1101.025,1210,28.6022727272727,25.2542153601374,2,2,3,23,73,76.025,78.83,64.5704545454546,8.39592806027859,43,48,55,64,78,83,84,443
"Erythroxylum confusum",170.719298245614,22.3804397904293,98.48,135,135,177,192.2,193,202.24,2037.80701754386,808.693775669763,469,642.2,1030.8,1867,3180,3180,4311.67999999999,39.2982456140351,36.8747711432514,5.56,6,6.8,34,73,158.8,216,55.6315789473684,11.9890300735824,22,28,42.6,52,78.6,81.6,82,59
"Erythroxylum macrophyllum",184.211267605634,28.2665459187723,115,125.35,133,192,220,224,225,648.816338028169,295.85821710038,265.74,296.05,349.1,610,1239.2,1523.65,1989.82,78.1025352112676,59.1408296622618,3,6,10,62,190,199,216,47.7538028169014,18.307430552469,12,15,16.7,50,76.3,79,82,1801
"Erythroxylum panamense",201.950354609929,26.7101709469672,125,134,147,215,224,227,228.6,593.482269503546,400.635185011375,195,225,242,506,1941,1941,1941,60.4326241134752,66.177607883692,3.8,7,11,39,184,275,324.2,50.9645390070922,11.8709798292894,21.4,22,30,55,69,73.5,74.6,143
"Eucalyptus globoidea",44.5713319810683,20.830136913624,-3.22,1,4.90000000000001,51,70,73,75,3819.92562542258,462.487704418206,3006,3119,3253,3723,4706.6,5022,5150,52.5354969574037,8.7970612023674,34,37,38,52,66,68,72.22,22.5605138607167,7.49678929965539,11,12,13,23,35,38,40,1491
"Eucalyptus globulus",38.6205128205128,31.9876233240342,-16,-10,-8,37,82.05,112.099999999999,146.23,3566.70833333333,1251.74848649366,285.18,730.6,1702.5,3216,5460,5955.375,6609,35.9653846153846,24.6009867860255,0,0,0,41,64,71,78,38.9275641025641,29.2334043066005,12,12,13,27,97,100,103,1596
"Eucalyptus grandis",81.3863636363636,23.5660421501066,20.42,34.275,46,79,118,121.725,133,3351.61538461538,670.725596307636,290.39,2382.575,2609.2,3527.5,4070.8,4554,4774.88999999998,40.7744755244755,16.0801357557731,6.71,14,18,40,64,68.1750000000001,80,56.1993006993007,19.9103630410852,21.1,29,31,46,83.8999999999999,88.45,95,574
"Eucalyptus obliqua",38.1363403382881,23.334795560081,-20,-8,-3,42,72,82,89,3578.01537672988,663.860344264147,2413,2481,2578,3559,4653,4858,5005.5,40.4961558175295,16.1364648555746,15,17,19,42,70,72,78,32.5638134290108,14.2388382778085,11,12,13.5,31,53,56,61,1959
"Eucalyptus regnans",23.631884057971,16.8340264217422,-13,-12,-9.6,24,49,54.4,59,3555.19420289855,518.386309855272,2592,2714,2714,3516,4347.6,4351,4473.84,57.2985507246377,8.93715937314184,35,41,43,58,71,74,76.12,21.6898550724638,6.79385291855328,11,12,12.2,20,34,36,36,345
"Eucalyptus sieberi",27.3995327102804,28.0720601482362,-21,-18,-15,23,74,78.925,80,3988.00934579439,634.263932198666,2791,2885,2939,3978.5,4980.15,5198,5198,58.0093457943925,10.5295445179564,36.83,38,40,57,78,83,85,20.7788161993769,6.58070491386638,9,9,11,20,31,32.925,35.1700000000001,1292
"Eucryphia cordifolia",7.59090909090909,24.1378167847508,-49.22,-43.55,-35,13,36.9,37,37,3450.40909090909,441.451573042833,2602.19,2645.975,2721.4,3549.5,4070.5,4072,4072,62.0454545454545,20.3153174036765,23.1,26.25,31,61,91,96.225,99.69,50.1818181818182,7.10892372562799,41,41,41.1,46.5,60,60.95,61.58,22
"Eucryphia lucida",25.8232323232323,18.5919287144477,-13,-12,-8,26,54,56,58,2855.1994949495,417.968914233543,2343.55,2368.75,2394,2835.5,3187,3249.625,4168.35000000002,75.3914141414141,19.5835329177206,6,43,49.75,72,110.5,121,123,25.4318181818182,6.34157651023883,15,17,18.75,24,35,36,40,399
"Euphorbia tirucalli",130.515625,51.8234536010218,17.2,35.125,43,125,217.25,228,229,2150.30859375,1174.12775571885,312.3,349.375,554.25,2237.5,4048.5,4940.875,5530.8,16.6848249027237,18.7832487307009,0,0,0.800000000000001,11,52,68,100,74.6964980544747,23.5173080251753,25,30,36.8,76,108,118,119.88,266
"Eurya japonica",35.390243902439,78.0387060635761,-79.9,-53,-41,1,213,223,236.72,6191.08617886179,2366.93389072228,122,228,350.2,7313,8303.7,8389.3,8662.1,74.8780487804878,51.4505526771032,7.28,13,26,57,193,214,255,44.6552845528455,15.9528478830116,15,15,19,43,86,93,93,637
"Eusideroxylon zwageri",222.982142857143,8.91880764845446,198.65,209,209,227,233,233,233,300.767857142857,72.6195543591716,200,212.75,234,287.5,470,488.75,500,142.571428571429,33.8310546649119,104,104,104,135,194.25,207.125,228.8,24.9464285714286,5.2168246798469,17.2,19.75,21,23,37,37,37,56
"Fagraea fragrans",217.262626262626,18.9071770513943,159,163,173.2,224,235,236,236,583.737373737374,397.549883556116,212,260,301,455,1569.8,1960,2103,109.292929292929,53.3886888053274,1,1.9,5.7,117,175,182,226,39.4343434343434,23.2247939364605,14,16,17,29,97,97,105.16,104
"Fagus sylvatica",-32.1371635610766,22.9974375095356,-90,-88,-86,-30,3,15,28,6476.06504485852,724.445246384543,4150.65,4718.5,5087.25,6505,7801,7922,8136.95000000001,40.3619737750173,13.3134675209831,24,24,24,36,65,78,86,24.9430641821946,7.33762640126275,11,13,15,26,39,41,43,5802
"Ficalhoa laurifolia",101.376344086022,23.6881524131766,55,66.5,72,101,143.2,155.7,156,1133.01075268817,619.359144505934,230,256,307.6,1477,1775,1781,1786.76,11.8817204301075,12.8476435517971,0,1.3,2,6,49,49,49.64,68.6129032258064,17.0089696656899,28,28,33.4,71,92,94.4,95.24,93
"Ficus carica",34.858185001459,29.8908653091373,-43,-21.7,-8,38,68,87,123,5444.9964983951,1039.33590122464,598.88,2547.05,3905,5465,6490.1,7289,8531.97999999999,16.3539538955355,12.7598462367315,0,1,2,14,38,51,72.4799999999996,41.8517653924715,16.9155787912612,16,22,25,37,85,92,94.7399999999998,3449
"Garrya elliptica",37.0791139240506,14.0419365282721,-17.07,-0.225000000000001,14,38,53,58,60,3220.20411392405,937.352415573494,1958.62,2033,2101.55,2991,4886,5367.05,6212.59,4.24208860759494,7.08941762230968,0,1,1,2,15.8999999999999,23,42.6899999999999,82.7658227848101,11.0256394585948,26.72,52,67,87,93,93,96,656
"Gaultheria mucronata",-18.5609756097561,24.0914059710789,-59,-53,-52.5,-23,30.8999999999999,51.8,57,3255.56910569106,797.441370282304,691.46,1973.65,1989,3119,4482,4742,5093.78,55.5528455284553,46.9834646971821,5,9.05,10.3,34,142,216.95,231.04,28.780487804878,19.4167143585471,10,11,11,24,64.8,65.95,69.34,124
"Gaultheria shallon",14.0075921908894,27.7237604098824,-57,-44,-29,16,51,54,57.5799999999999,3816.41106290672,1149.17832384102,1949,1958,2028.25,3884,5513,5777.9,6228.95,23.3449023861171,35.389416101876,0,1,1,7,115,149.75,158.79,69.9891540130152,17.0182852271894,34,34.025,37,74,92,96,96,952
"Genipa americana",184.964618249534,31.2650359677108,97.4,121,129,191,222,223,227,902.534450651769,642.699203639618,255.1,290,320,710,2198,3100.75,3499.5,52.8237119801366,56.7599715386626,0,1,2,33,172,191,245.400000000001,57.1446306641837,21.4150539298159,17,19,22,58,92,98,103,1622
"Gironniera subaequalis",182.239554317549,43.7199505208301,64,86,101.6,201,221,222,226,1161.74651810585,1336.59727007917,155.46,180,186,467,4076,4290.65000000001,5309.78,103.612813370474,72.9880448819813,3,3,6.9,104,242,245,311.360000000001,42.2646239554318,23.9863707066457,11.16,13,15,31,87,90,95,363
"Gordonia lasianthus",-25.25,90.2259241643129,-157,-157,-157,10,86.5499999999999,90.425,90.77,6720.04166666667,1085.82028616184,4163.76,4236.9,4434.7,7029,7778,7778,7778,54.625,23.715363759826,22,22,22,65,79.85,80.85,81.54,31.4166666666667,8.96814006535826,19.69,20.725,22,32.5,49.5,54.4,57.16,24
"Goupia glabra",208.862516212711,16.7183477527694,145,151.25,181,213,225,225,228,534.713359273671,165.289158876429,272,294.25,329,484,911.5,1032.25,1120,76.5252918287938,46.5573554500858,2,8,13.5,75,159,185,246.999999999998,46.4863813229572,14.4787621898596,18,19,20.5,45,73,76,77,771
"Grewia villosa",118.086834733894,44.7219973311795,34.56,42.7,50,116,215,218,219.32,2126.58263305322,1137.74996119179,647,700.9,782,1910,3978.2,4272.5,4716.96,6.38935574229692,7.75192610204917,0,0,0,5,20.2,26.1,33,82.9719887955182,25.2692089514805,45,48.9,52,80,126.4,139.1,147.4,362
"Griselinia littoralis",1.06122448979592,28.2122964940713,-64,-59.6,-38,-1,51.8,56.2,59.08,3791.16326530612,514.64511829912,2693.44,3018.4,3082.8,3732,4485.6,5085.2,5417.2,116.081632653061,68.7637370320451,36.96,38.6,42.6,77,254.8,258,258,16.8979591836735,5.90636978876472,10,10,10.4,15,30.6,31.8,33.04,52
"Guazuma ulmifolia",168.015645805593,36.7593277057085,72.03,92,103,174,219,222,224,1292.81824234354,832.126990864084,253,299.075,361.15,1118,3387.4,3521.89999999999,3606.85,29.8661784287616,28.0836970596036,0,0,1,25,76,90,129.94,63.8578561917443,22.1209425379178,22.03,24,30,62,103,110.925,117,3034
"Gymnanthes lucida",179.627906976744,20.3674461438152,123.52,146.35,152.8,182,206.3,208.65,212.44,1522.84186046512,607.914108785175,688.74,999.05,1103,1241,2196,2387,3086,40.8,20.6789431932288,10.28,14,15.7,36,83,87.6,99.2999999999999,47.2558139534884,14.1336957738203,22.14,23,26,51,66.3,72,83.4599999999998,218
"Haenianthus salicifolius",146.083333333333,28.7030529426218,58.55,93,93,148,179.75,185,190.83,1317.04166666667,169.459084163918,1214.23,1219,1219,1256,1632.4,1943.975,1997,94.3958333333333,37.0989129756066,15,15.35,26.8,87.5,137,137,137,34.25,11.9724861884203,25,25,25,29,60.05,70.95,72,48
"Hagenia abyssinica",72.078431372549,28.9265242994995,9,9,22.8,66,117,123,123,909.078431372549,398.848169394197,356.2,385,535.6,762,1574,1814.4,1922,18.7254901960784,18.7428004753677,2,3,4,10,66,73,73,66.8758169934641,17.0152100151901,37,37,37,63,93,96,96.48,153
"Halesia carolina",-32.3225806451613,39.8895652941322,-97.16,-97,-97,-25,22.2,39.7,49.72,7519.33333333333,1205.0027542214,3861.4,5193,5234,7391,8977,9415.8,9460.24,76.2258064516129,18.3813049119609,31.56,34,38.6,80,101.6,108.4,118,16.7741935483871,10.0651454472936,7,7,7,14,43.8,47.1,52,93
"Harpullia cupanioides",190.5234375,35.208948248488,102,103,118,206,225,229.25,233,838.30859375,802.710908382128,162,222,243,588,3088,3257,3257,102.140625,60.2959673317427,2,4,4,104,202,213,247.45,38.09375,23.8808931747439,11,13,15,27,96,99,103.25,289
"Hedera helix",9.07032924215858,34.253796949316,-67.68,-59,-47,11,61,65,75,5610.62088447302,908.305996549257,2771,3511.1,3953,5673,6791.8,7058.9,8500.8,29.1254626923826,20.9126957174795,1,2,4,24,72,87,96,33.6549775959478,15.1356683955191,10,13,18,30,68,83,91.6800000000003,5169
"Hedycarya arborea",38.5217391304348,26.5076417748499,-5.75,-2.5,1,34.5,78,78,87.8999999999999,3305.0652173913,293.913623152103,2789.95,2931.625,2957.25,3285,3759.5,3761,3766.5,117.739130434783,75.6927810392066,49.5,55.25,57.25,87,281.25,289,301,19.3695652173913,4.94124903531339,12.45,13,13,19,27,28.75,29,48
"Hevea brasiliensis",177.118393234672,35.412322198841,86.76,92,128,183,225,229,229,1046.61733615222,795.466249773885,281,293.4,336.6,821,2409.4,3329.6,3589.59999999999,48.3213530655391,47.718568373924,3,4.8,8,32,159.4,170.2,208,58.1162790697674,18.1036683151324,17,20,22,61,83.4,93,94,482
"Hieronyma alchorneoides",173.763440860215,42.3344295724358,51,74,89,190,222,223,229,960.889164598842,698.54801227524,251,298.4,341.2,731,2822,2945.2,3010.72,83.1191066997519,62.384972617393,2,4,8,67,196,204,240,45.0223325062035,18.4485232682748,14,15,17,47,79,81,86.9200000000001,1221
"Holodiscus discolor",-32.4719138916919,51.9369211337557,-128.84,-113,-107,-41,50.4000000000001,59,70,5378.71274806593,1290.72221750514,2286.92,2462.5,2821,5639,7248,7656,8230.84,9.39488731920619,8.39683659685022,0,0,1,8,24,29,39,69.389169189371,17.0839382435999,22,27,35,72,91,92,99,2989
"Hura crepitans",189.540955631399,29.5324685022662,103,125,137,197,224,227,229,835.092150170648,670.809725049008,205,269,327.25,685.5,2067.25,2217.75,3594.84999999999,61.2013651877133,55.6693264973,1,1,3,49,177.75,208,208,51.6621160409556,20.4282818441606,12.85,17,22,50,88.75,93.375,102.15,599
"Hymenaea courbaril",166.673090649536,37.7769986283934,81,93,101,170,222,224,227,1105.95289079229,619.835838226999,281,334,399,952,2474,2529,2761,27.6252676659529,32.1226918628808,0,1,1,19,81,101,144,67.2726623840114,19.6266553982316,20,28,35,67,96,101,110,1415
"Ilex anomala",151,32.4811389924045,96,96.075,99,151,213.4,215,217.36,1318.11904761905,209.087121809039,852,852.55,881.3,1379,1521.6,1726.75,1732,93.8039215686274,39.7633095241546,15,28,44.5,88,179.5,181,214,33.3333333333333,10.3318278473205,19,20,23,31,49.5,52.25,65.5,60
"Ilex aquifolium",-0.148525469168901,27.4173735140773,-53,-44,-36,-3,47.8,58.3999999999999,71,5262.46595174263,922.357529994364,2434,3175.8,3563.4,5497,6417,6590,6826,43.429490616622,24.6317184688698,1,2,9,36,95,99,102,30.7849865951743,13.41394403777,12,14,17,27,61.8,70,79,1877
"Ilex canariensis",77.6666666666667,40.6890648700606,14,14,14,84,132.75,141,141,3814.44444444444,1599.79190511846,2658.75,2682.375,2689.5,3061,6733,6733,6733,3.02777777777778,3.8358170007825,0,0,0,1,10,10,10,72.8888888888889,19.6320114358125,37,37,37,81.5,87,87,87,63
"Ilex chinensis",17.3692307692308,33.6503080515147,-39,-34.325,-32,19,51.55,69.1749999999999,120.719999999999,7439,796.272128311409,4653.52,5519.7,6043,7540,8419.2,8461.1,8652.75999999999,51.3692307692308,15.7377433355348,13,13.45,25,48,73,92.3999999999999,98.8399999999999,54.5692307692308,11.7360760062234,38.29,39,40,52,68,73.4249999999999,83.9699999999999,130
"Ilex coriacea",33.6206896551724,27.2611887817297,-10.6,-8.5,-7,42,64,76.6,94.24,6418.93103448276,611.363226792299,4825.8,5281.5,5607,6279,7235,7296.3,7342.92,75.4137931034483,12.6449234347208,40.64,46.1,50,78,89.2,92.6,93.44,24.6206896551724,8.08178637034911,16.12,17.8,19,23,40,44.5,50.8,29
"Ilex crenata",-19.8377281947262,46.1335331687623,-115.32,-98.7,-90.8,-18,54,88.6999999999998,145.44,7219.22109533469,1767.68046588539,803.64,3151,3193,7754,8900.8,9061.9,9285,63.5354969574037,23.4969565925523,14.68,26,32,60,102.4,117,155.4,40.9188640973631,12.6314836497898,8.92,11.3,12,42,57,62,77.08,495
"Ilex decidua",-35.4685714285714,40.3817684724053,-113.48,-82.6,-78.3,-48,33.7999999999999,44,56.26,8184.69142857143,1109.02122979883,4518.42,6037.5,6324.8,8544,9423.6,9599.05,9844.38,61.1428571428571,18.121148591427,14.1,26.75,37,68,81,83,91.8599999999999,22.8114285714286,13.1032103513098,9,11,12,20,35,45.95,82.6599999999996,175
"Ilex dumosa",101.095384615385,28.4917165283393,44.48,48.1,53.4,103,137.8,178.9,185.76,2812.34769230769,683.63059413017,1233,1245.4,1293.2,2912,3521,3589,3695.08,73.5907692307692,31.5186879851889,10.24,12,14,79,129.2,133.9,138.76,31.0923076923077,18.7128422570472,8,9,10,26,79,82,82,328
"Ilex glabra",-23.2603550295858,50.8628258148641,-105.36,-93,-84.8,-51,54,57.8,90.92,7182.15976331361,1146.86279300988,3883.12,4736,5697,7000,8563,8773.4,9071.96,76,10.5554093557127,40.68,44.8,57.4,78,87,90,93.64,18.6153846153846,8.14891170063597,8.68,9,10,18,35,41.8,46.64,171
"Ilex goshiensis",112.888888888889,42.1766054064775,-28.83,4.725,8.05,122,155.65,163.95,168,4120.47222222222,1068.88648898,2583.94,2623,2661,4096,6931,7325,7616.09,119.148148148148,44.2277062093276,16.84,28,36.7,132.5,160.95,171,171,43.0833333333333,23.9142256181522,18,18,18,40,100,100,100,114
"Ilex guianensis",173.044609665428,37.2541425465767,99.68,101,111,185,215.6,218,220.32,893.82156133829,433.651888705849,401.08,454.4,487.6,713,1759,1895.3,1898.88,60.0520446096654,37.0599187770183,5,9.1,12.8,55,110,183,189.88,53.6988847583643,14.0814011007623,23.36,27,29,52,73,74.3,90,272
"Ilex integra",15.1784037558685,53.4250144867709,-38.88,-36,-32,0,166,168,168,6989.53521126761,1434.92561602282,2575,2576.8,2581,7452,8089,8157.8,8194.76,62.5305164319249,26.7771244636791,29,32.6,35,55,116.6,142.3,154,42.3192488262911,7.5860755881617,18.24,21,30.6,43,53.4,61.1,65,226
