"","order","family","genus","n1","n0","N","K","mean","lower","upper","p_mean","p_lower","p_upper"
"7235","Fabales","Fabaceae","Platycelyphium",0,0,1,0,0.364,0,1,0.364,0,1
"7236","Fabales","Fabaceae","Platycyamus",0,0,2,0,0.656,0,2,0.328,0,1
"7237","Fabales","Fabaceae","Platylobium",0,2,4,2,0,0,0,0,0,0
"7238","Fabales","Fabaceae","Platymiscium",0,3,37,3,0,0,0,0,0,0
"7239","Fabales","Fabaceae","Platypodium",0,2,2,2,0,0,0,0,0,0
"7240","Fabales","Fabaceae","Platysepalum",1,0,12,1,12,12,12,1,1,1
"7241","Fabales","Fabaceae","Pleurolobus",0,0,3,0,1.02,0,3,0.34,0,1
"7242","Fabales","Fabaceae","Podalyria",0,0,28,0,9.876,0,28,0.352714285714286,0,1
"7243","Fabales","Fabaceae","Podocarpium",0,0,7,0,2.6,0,7,0.371428571428571,0,1
"7244","Fabales","Fabaceae","Podocytisus",0,0,1,0,0.326,0,1,0.326,0,1
"7245","Fabales","Fabaceae","Podolobium",0,1,1,1,0,0,0,0,0,0
"7246","Fabales","Fabaceae","Podolotus",0,0,1,0,0.338,0,1,0.338,0,1
"7247","Fabales","Fabaceae","Poecilanthe",0,2,9,2,0,0,0,0,0,0
"7248","Fabales","Fabaceae","Poeppigia",0,1,1,1,0,0,0,0,0,0
"7249","Fabales","Fabaceae","Poincianella",0,0,1,0,0.384,0,1,0.384,0,1
"7250","Fabales","Fabaceae","Poiretia",1,0,11,1,11,11,11,1,1,1
"7251","Fabales","Fabaceae","Poissonia",0,1,2,1,0,0,0,0,0,0
"7252","Fabales","Fabaceae","Poitea",0,0,13,0,4.244,0,13,0.326461538461538,0,1
"7253","Fabales","Fabaceae","Polhillia",0,0,6,0,1.964,0,6,0.327333333333333,0,1
"7254","Fabales","Polygalaceae","Polygala",4,14,623,18,116,116,116,0.186195826645265,0.186195826645265,0.186195826645265
"7255","Fabales","Polygalaceae","Polygaloides",0,0,1,0,0.342,0,1,0.342,0,1
"7256","Fabales","Fabaceae","Polystemonanthus",0,0,1,0,0.336,0,1,0.336,0,1
"7257","Fabales","Fabaceae","Pomaria",0,0,16,0,5.664,0,16,0.354,0,1
"7258","Fabales","Fabaceae","Pongamia",0,1,1,1,0,0,0,0,0,0
"7259","Fabales","Fabaceae","Pongamiopsis",0,0,3,0,0.998,0,3,0.332666666666667,0,1
"7260","Fabales","Fabaceae","Priestleya",0,0,15,0,5.004,0,15,0.3336,0,1
"7261","Fabales","Fabaceae","Prioria",0,1,13,1,0,0,0,0,0,0
"7262","Fabales","Fabaceae","Prosopidastrum",0,0,5,0,1.744,0,5,0.3488,0,1
"7263","Fabales","Fabaceae","Prosopis",1,11,47,12,5,5,5,0.106382978723404,0.106382978723404,0.106382978723404
"7264","Fabales","Fabaceae","Pseudarthria",1,0,6,1,6,6,6,1,1,1
"7265","Fabales","Fabaceae","Pseudeminia",1,0,4,1,4,4,4,1,1,1
"7266","Fabales","Fabaceae","Pseudoberlinia",0,0,3,0,1,0,3,0.333333333333333,0,1
"7267","Fabales","Fabaceae","Pseudoeriosema",0,0,5,0,1.67,0,5,0.334,0,1
"7268","Fabales","Fabaceae","Pseudolotus",0,0,1,0,0.278,0,1,0.278,0,1
"7269","Fabales","Fabaceae","Pseudomacrolobium",0,0,1,0,0.344,0,1,0.344,0,1
"7270","Fabales","Fabaceae","Pseudopiptadenia",0,2,11,2,0,0,0,0,0,0
"7271","Fabales","Fabaceae","Pseudoprosopis",2,0,7,2,7,7,7,1,1,1
"7272","Fabales","Fabaceae","Pseudosamanea",0,0,1,0,0.364,0,1,0.364,0,1
"7273","Fabales","Fabaceae","Pseudosindora",0,0,1,0,0.334,0,1,0.334,0,1
"7274","Fabales","Fabaceae","Pseudovigna",1,0,2,1,2,2,2,1,1,1
"7275","Fabales","Fabaceae","Psilorhegma",0,0,1,0,0.316,0,1,0.316,0,1
"7276","Fabales","Fabaceae","Psophocarpus",5,0,10,5,10,10,10,1,1,1
"7277","Fabales","Fabaceae","Psoralea",0,6,101,6,0,0,0,0,0,0
"7278","Fabales","Fabaceae","Psoralidium",0,0,2,0,0.668,0,2,0.334,0,1
"7279","Fabales","Fabaceae","Psorothamnus",0,0,10,0,3.382,0,10,0.3382,0,1
"7280","Fabales","Fabaceae","Pterocarpus",1,10,66,11,7,7,7,0.106060606060606,0.106060606060606,0.106060606060606
"7281","Fabales","Fabaceae","Pterodon",0,1,2,1,0,0,0,0,0,0
"7282","Fabales","Fabaceae","Pterogyne",0,1,1,1,0,0,0,0,0,0
"7283","Fabales","Fabaceae","Pterolobium",6,0,11,6,11,11,11,1,1,1
"7284","Fabales","Polygalaceae","Pteromonnina",0,0,19,0,6.802,0,19,0.358,0,1
"7285","Fabales","Fabaceae","Ptycholobium",0,0,3,0,1.044,0,3,0.348,0,1
"7286","Fabales","Fabaceae","Ptychosema",0,2,2,2,0,0,0,0,0,0
"7287","Fabales","Fabaceae","Pueraria",10,0,20,10,20,20,20,1,1,1
"7288","Fabales","Fabaceae","Pultenaea",0,79,104,79,0,0,0,0,0,0
"7289","Fabales","Fabaceae","Punjuba",0,0,1,0,0.346,0,1,0.346,0,1
"7290","Fabales","Fabaceae","Pusaetha",0,0,3,0,1.06,0,3,0.353333333333333,0,1
"7291","Fabales","Fabaceae","Pycnospora",0,0,1,0,0.35,0,1,0.35,0,1
"7292","Fabales","Fabaceae","Pyranthus",0,0,6,0,1.948,0,6,0.324666666666667,0,1
"7293","Fabales","Quillajaceae","Quillaja",0,2,2,2,0,0,0,0,0,0
"7294","Fabales","Fabaceae","Racosperma",0,18,714,18,0,0,0,0,0,0
"7295","Fabales","Fabaceae","Rafnia",0,0,32,0,10.7,0,32,0.334375,0,1
"7296","Fabales","Fabaceae","Ramirezella",0,0,10,0,3.242,0,10,0.3242,0,1
"7297","Fabales","Fabaceae","Ramorinoa",0,0,1,0,0.32,0,1,0.32,0,1
"7298","Fabales","Surianaceae","Recchia",0,0,3,0,0.882,0,3,0.294,0,1
"7299","Fabales","Fabaceae","Recordoxylon",0,1,4,1,0,0,0,0,0,0
"7300","Fabales","Fabaceae","Rehsonia",1,0,3,1,3,3,3,1,1,1
"7301","Fabales","Fabaceae","Requienia",0,0,3,0,1.024,0,3,0.341333333333333,0,1
"7302","Fabales","Fabaceae","Retama",0,0,4,0,1.43,0,4,0.3575,0,1
"7303","Fabales","Polygalaceae","Rhinotropis",0,0,17,0,6.322,0,17,0.371882352941176,0,1
"7304","Fabales","Fabaceae","Rhodopis",0,0,2,0,0.65,0,2,0.325,0,1
"7305","Fabales","Fabaceae","Rhynchosia",77,1,257,78,253,253,253,0.98443579766537,0.98443579766537,0.98443579766537
"7306","Fabales","Fabaceae","Rhynchotropis",0,0,2,0,0.654,0,2,0.327,0,1
"7307","Fabales","Fabaceae","Riedeliella",0,0,3,0,1.058,0,3,0.352666666666667,0,1
"7308","Fabales","Fabaceae","Robinia",0,4,8,4,0,0,0,0,0,0
"7309","Fabales","Fabaceae","Robynsiophyton",0,0,1,0,0.334,0,1,0.334,0,1
"7310","Fabales","Fabaceae","Rothia",0,1,2,1,0,0,0,0,0,0
"7311","Fabales","Fabaceae","Rupertia",0,0,3,0,1.058,0,3,0.352666666666667,0,1
"7312","Fabales","Fabaceae","Sakoanala",0,0,2,0,0.744,0,2,0.372,0,1
"7313","Fabales","Polygalaceae","Salomonia",0,0,2,0,0.634,0,2,0.317,0,1
"7314","Fabales","Fabaceae","Salweenia",0,0,1,0,0.368,0,1,0.368,0,1
"7315","Fabales","Fabaceae","Samanea",0,2,5,2,0,0,0,0,0,0
"7316","Fabales","Fabaceae","Saraca",0,1,11,1,0,0,0,0,0,0
"7317","Fabales","Fabaceae","Sarcodum",1,0,2,1,2,2,2,1,1,1
"7318","Fabales","Fabaceae","Sarothamnus",0,0,2,0,0.7,0,2,0.35,0,1
"7319","Fabales","Fabaceae","Sartoria",0,0,1,0,0.308,0,1,0.308,0,1
"7320","Fabales","Fabaceae","Schefflerodendron",0,0,4,0,1.428,0,4,0.357,0,1
"7321","Fabales","Fabaceae","Schizolobium",0,2,2,2,0,0,0,0,0,0
"7322","Fabales","Fabaceae","Schleinitzia",0,0,5,0,1.694,0,5,0.3388,0,1
"7323","Fabales","Fabaceae","Schnella",0,0,6,0,2.158,0,6,0.359666666666667,0,1
"7324","Fabales","Fabaceae","Schotia",0,0,4,0,1.368,0,4,0.342,0,1
"7325","Fabales","Fabaceae","Schrankia",0,0,3,0,1.008,0,3,0.336,0,1
"7326","Fabales","Fabaceae","Sclerolobium",0,11,40,11,0,0,0,0,0,0
"7327","Fabales","Fabaceae","Scorodophloeus",0,0,2,0,0.648,0,2,0.324,0,1
"7328","Fabales","Fabaceae","Scorpiurus",0,0,3,0,1.098,0,3,0.366,0,1
"7329","Fabales","Polygalaceae","Securidaca",31,0,49,31,49,49,49,1,1,1
"7330","Fabales","Fabaceae","Securigera",0,0,13,0,4.576,0,13,0.352,0,1
"7331","Fabales","Fabaceae","Sellocharis",0,0,1,0,0.36,0,1,0.36,0,1
"7332","Fabales","Fabaceae","Senegalia",28,0,66,28,66,66,66,1,1,1
"7333","Fabales","Fabaceae","Senna",20,38,272,58,99,99,99,0.363970588235294,0.363970588235294,0.363970588235294
"7334","Fabales","Fabaceae","Serianthes",0,1,8,1,0,0,0,0,0,0
"7335","Fabales","Fabaceae","Sertula",0,0,16,0,5.836,0,16,0.36475,0,1
"7336","Fabales","Fabaceae","Sesban",0,0,3,0,0.984,0,3,0.328,0,1
"7337","Fabales","Fabaceae","Sesbania",0,7,56,7,0,0,0,0,0,0
"7338","Fabales","Fabaceae","Shuteria",2,0,5,2,5,5,5,1,1,1
"7339","Fabales","Fabaceae","Sigmoidotropis",1,0,9,1,9,9,9,1,1,1
"7340","Fabales","Fabaceae","Siliquastrum",0,0,1,0,0.332,0,1,0.332,0,1
"7341","Fabales","Fabaceae","Sindora",0,1,19,1,0,0,0,0,0,0
"7342","Fabales","Fabaceae","Sindoropsis",0,0,1,0,0.314,0,1,0.314,0,1
"7343","Fabales","Fabaceae","Singana",0,0,1,0,0.312,0,1,0.312,0,1
"7344","Fabales","Fabaceae","Sinodolichos",0,0,2,0,0.724,0,2,0.362,0,1
"7345","Fabales","Fabaceae","Smirnowia",0,0,1,0,0.342,0,1,0.342,0,1
"7346","Fabales","Fabaceae","Smithia",0,0,22,0,7.306,0,22,0.332090909090909,0,1
"7347","Fabales","Fabaceae","Soemmeringia",0,1,1,1,0,0,0,0,0,0
"7348","Fabales","Fabaceae","Solulus",0,0,3,0,1.06,0,3,0.353333333333333,0,1
"7349","Fabales","Fabaceae","Sophora",0,4,61,4,0,0,0,0,0,0
"7350","Fabales","Fabaceae","Spartidium",0,0,1,0,0.298,0,1,0.298,0,1
"7351","Fabales","Fabaceae","Spartium",0,0,1,0,0.324,0,1,0.324,0,1
"7352","Fabales","Fabaceae","Spartocytisus",0,0,1,0,0.348,0,1,0.348,0,1
"7353","Fabales","Fabaceae","Spathionema",0,0,1,0,0.362,0,1,0.362,0,1
"7354","Fabales","Fabaceae","Spatholobus",19,0,34,19,34,34,34,1,1,1
"7355","Fabales","Fabaceae","Sphaerolobium",0,17,18,17,0,0,0,0,0,0
"7356","Fabales","Fabaceae","Sphaerophysa",0,0,4,0,1.358,0,4,0.3395,0,1
"7357","Fabales","Fabaceae","Sphenostylis",3,0,8,3,8,8,8,1,1,1
"7358","Fabales","Fabaceae","Sphinctospermum",0,0,1,0,0.298,0,1,0.298,0,1
"7359","Fabales","Fabaceae","Sphinga",0,0,3,0,0.972,0,3,0.324,0,1
"7360","Fabales","Fabaceae","Spiesia",0,0,162,0,57.44,0,162,0.354567901234568,0,1
"7361","Fabales","Fabaceae","Spirotropis",0,0,2,0,0.754,0,2,0.377,0,1
"7362","Fabales","Fabaceae","Spongiocarpella",0,0,4,0,1.408,0,4,0.352,0,1
"7363","Fabales","Fabaceae","Stachyothyrsus",0,0,3,0,0.866,0,3,0.288666666666667,0,1
"7364","Fabales","Fabaceae","Stahlia",0,1,1,1,0,0,0,0,0,0
"7365","Fabales","Fabaceae","Stauracanthus",0,0,1,0,0.36,0,1,0.36,0,1
"7366","Fabales","Fabaceae","Steinbachiella",0,0,1,0,0.328,0,1,0.328,0,1
"7367","Fabales","Fabaceae","Stemonocoleus",0,0,1,0,0.35,0,1,0.35,0,1
"7368","Fabales","Fabaceae","Stenodrepanum",0,0,1,0,0.328,0,1,0.328,0,1
"7369","Fabales","Fabaceae","Stirtonanthus",0,0,3,0,0.904,0,3,0.301333333333333,0,1
"7370","Fabales","Fabaceae","Stizolobium",0,0,15,0,4.784,0,15,0.318933333333333,0,1
"7371","Fabales","Fabaceae","Stonesiella",0,0,1,0,0.39,0,1,0.39,0,1
