gs,growthForm,vesselSize,vesselNumber,Tree,Shrub,Liana,GF3,GF2
Cercis siliquastrum,S,0.003318307,100,NA,NA,NA,NA,NA
Cercocarpus betuloides,S,0.001134115,91,NA,NA,NA,NA,NA
Cercocarpus ledifolius,T,0.001256637,65,NA,NA,NA,NA,NA
Cereus peruvianus,NA,0.00082448,405,NA,NA,NA,NA,NA
Cereus tetragonus,NA,0.000611362,271,NA,NA,NA,NA,NA
Ceriops tagal,NA,0.000962113,30,NA,NA,NA,NA,NA
Chaenomeles sinensis,NA,0.000380133,149,NA,NA,NA,NA,NA
Chaenomeles speciosa,NA,0.000415476,262,NA,NA,NA,NA,NA
Chaenomeles thibetica,NA,0.003117245,63,NA,NA,NA,NA,NA
Chamaebatia australis,NA,0.000490874,328,NA,NA,NA,NA,NA
Chamaebatiaria millefolium,S,0.000530929,525,NA,NA,NA,NA,NA
Chamaecytisus hirsutus,NA,0.000804248,144,NA,NA,NA,NA,NA
Chamaedaphne calyculata,S,0.000201062,647,NA,NA,NA,NA,NA
Chilopsis linearis,S_T,0.010028749,19,0,1,0,Shrub,Arbor
Chiranthodendron pentadactylon,NA,0.0254469,3,1,0,0,Tree,Arbor
Chloranthus erectus,NA,0.000804248,107,NA,NA,NA,NA,NA
Chloranthus multistachys,NA,0.001194591,64,NA,NA,NA,NA,NA
Chloranthus serratus,NA,0.001520531,193,NA,NA,NA,NA,NA
Chlorocardium rodiei,T,0.013273229,11,NA,NA,NA,NA,NA
Chrysophyllum beguei,NA,0.012271846,8,NA,NA,NA,NA,NA
Chrysophyllum gonocarpum,T,0.002827433,38,1,0,0,Tree,Arbor
Chukrasia tabularis,NA,0.016512996,15,NA,NA,NA,NA,NA
Cistus creticus,NA,0.001256637,170,NA,NA,NA,NA,NA
Cistus salviifolius,S,0.000855299,280,NA,NA,NA,NA,NA
Citharexylum myrianthum,NA,0.020358306,15,1,0,0,Tree,Arbor
Clarisia racemosa,T,0.021382465,8,1,0,0,Tree,Arbor
Cleome droserifolia,S,0.002375829,60,NA,NA,NA,NA,NA
Cleyera incornuta,NA,0.001256637,177,NA,NA,NA,NA,NA
Cleyera japonica,T,0.000962113,258,NA,NA,NA,NA,NA
Cleyera obovata,NA,0.000962113,235,NA,NA,NA,NA,NA
Cleyera pachyphylla,NA,0.001134115,207,NA,NA,NA,NA,NA
Cneorum pulverulentum,NA,0.004417865,15,NA,NA,NA,NA,NA
Cocculus pendulus,NA,0.012867964,25,NA,NA,NA,NA,NA
Coleogyne ramosissima,S,0.000490874,288,NA,NA,NA,NA,NA
Colutea armena,NA,0.001520531,24,NA,NA,NA,NA,NA
Colutea cilicica,NA,0.002827433,80,NA,NA,NA,NA,NA
Colutea istria,NA,0.002375829,40,NA,NA,NA,NA,NA
Commicarpus africanus,NA,0.006792909,20,NA,NA,NA,NA,NA
Comoranthus minor,NA,0.000962113,140,NA,NA,NA,NA,NA
Condalia ericoides,NA,0.001963495,125,0,1,0,Shrub,Arbor
Condalia lineata,NA,0.001661903,180,NA,NA,NA,NA,NA
Condalia lycioides,NA,0.008659015,100,NA,NA,NA,NA,NA
Condalia microphylla,NA,0.003019071,150,NA,NA,NA,NA,NA
Condalia obovata,NA,0.002206183,120,NA,NA,NA,NA,NA
Condalia obtusifolia,NA,0.005674502,35,NA,NA,NA,NA,NA
Condalia parryi,NA,0.003318307,140,NA,NA,NA,NA,NA
Condalia spathulata,NA,0.001590431,160,NA,NA,NA,NA,NA
Copaifera langsdorffii,NA,0.012271846,8,NA,NA,NA,NA,NA
Copaifera officinalis,NA,0.013069811,6,NA,NA,NA,NA,NA
Cordia alliodora,T,0.012778166,14,1,0,0,Tree,Arbor
Cordia dentata,NA,0.015393804,8,1,0,0,Tree,Arbor
Cordia elaeagnoides,T,0.035588354,6,1,0,0,Tree,Arbor
Cordia excelsa,NA,0.00664761,10,NA,NA,NA,NA,NA
Cordia glabrata,NA,0.009503318,7,1,0,0,Tree,Arbor
Cordia goeldiana,NA,0.029347711,3,1,0,0,Tree,Arbor
Cordia hintonii,NA,0.031415927,4,1,0,0,Tree,Arbor
Cordia latiloba,NA,0.009503318,7,NA,NA,NA,NA,NA
Cordia sinensis,NA,0.009503318,15,NA,NA,NA,NA,NA
Cordia sonorae,NA,0.008040121,16,1,0,0,Tree,Arbor
Cordia trichotoma,NA,0.009905834,6.5,1,0,0,Tree,Arbor
Cordyla africana,T,0.022431757,2,NA,NA,NA,NA,NA
Cornus alba,S,0.001256637,102,NA,NA,NA,NA,NA
Cornus alsophila,NA,0.001017876,98,NA,NA,NA,NA,NA
Cornus alternifolia,S_T,0.001734945,97,NA,NA,NA,NA,NA
Cornus amomum,S,0.001452201,124,NA,NA,NA,NA,NA
Cornus angustata,NA,0.001809557,45,NA,NA,NA,NA,NA
Cornus asperifolia,NA,0.001256637,70,NA,NA,NA,NA,NA
Cornus bretschneideri,NA,0.003117245,38,NA,NA,NA,NA,NA
Cornus canadensis,H,0.000530929,580,NA,NA,NA,NA,NA
Cornus capitata,T,0.001555481,69.5,NA,NA,NA,NA,NA
Cornus chinensis,NA,0.002206183,57,NA,NA,NA,NA,NA
Cornus controversa,T,0.003251088,42.2,NA,NA,NA,NA,NA
Cornus coreana,NA,0.003216991,30,NA,NA,NA,NA,NA
Cornus darvasica,NA,0.000804248,116,NA,NA,NA,NA,NA
Cornus disciflora,T,0.004656626,39,1,0,0,Tree,Arbor
Cornus drummondii,NA,0.001452201,102,NA,NA,NA,NA,NA
Cornus excelsa,NA,0.001520531,72,0,1,0,Shrub,Arbor
Cornus ferruginea,NA,0.001963495,45,NA,NA,NA,NA,NA
Cornus florida,NA,0.002463009,58,NA,NA,NA,NA,NA
Cornus glabrata,S,0.00107521,160,NA,NA,NA,NA,NA
Cornus hongkongensis,NA,0.002290221,58,NA,NA,NA,NA,NA
Cornus kousa,S,0.002365576,54.2,NA,NA,NA,NA,NA
Cornus macrophylla,S,0.003307492,45.6,NA,NA,NA,NA,NA
Cornus mas,NA,0.001385442,71,NA,NA,NA,NA,NA
Cornus meyeri,NA,0.000804248,64,NA,NA,NA,NA,NA
Cornus monbeigii,NA,0.002463009,33,NA,NA,NA,NA,NA
Cornus nuttallii,T,0.002551759,58,NA,NA,NA,NA,NA
Cornus oblonga,NA,0.002375829,70,NA,NA,NA,NA,NA
Cornus occidentalis,NA,0.002123717,72,NA,NA,NA,NA,NA
Cornus officinalis,S,0.001256637,80,NA,NA,NA,NA,NA
Cornus parviflora,NA,0.002123717,52,NA,NA,NA,NA,NA
Cornus peruviana,NA,0.003216991,34,1,1,0,2,Arbor
Cornus poliophylla,NA,0.001520531,58,NA,NA,NA,NA,NA
Cornus purpusii,NA,0.001256637,121,NA,NA,NA,NA,NA
Cornus racemosa,S,0.001017876,130,NA,NA,NA,NA,NA
Cornus rugosa,S,0.001017876,146,NA,NA,NA,NA,NA
Cornus sanguinea,S,0.001214226,77,NA,NA,NA,NA,NA
Cornus schindleri,NA,0.00090792,93,NA,NA,NA,NA,NA
Cornus sessilis,NA,0.001590431,99,NA,NA,NA,NA,NA
Cornus stolonifera,S,0.001134115,134,NA,NA,NA,NA,NA
Cornus stricta,NA,0.002290221,77,NA,NA,NA,NA,NA
Cornus tonkinensis,NA,0.003525652,70,NA,NA,NA,NA,NA
Cornus volkensii,T,0.005808805,32,NA,NA,NA,NA,NA
Cornus walteri,S,0.003216991,42,NA,NA,NA,NA,NA
Cornus wilsoniana,S,0.003525652,32,NA,NA,NA,NA,NA
Corokia buddleioides,NA,0.000483051,96,NA,NA,NA,NA,NA
Corokia buddlejoides,NA,0.000415476,233,NA,NA,NA,NA,NA
Corokia collenettei,NA,0.000855299,185,NA,NA,NA,NA,NA
Corokia cotoneaster,S,0.00024453,300,NA,NA,NA,NA,NA
Corokia macrocarpa,NA,0.000300116,220.5,NA,NA,NA,NA,NA
Corokia whiteana,S,0.000254469,228,NA,NA,NA,NA,NA
Coronilla emerus,NA,0.00090792,92,NA,NA,NA,NA,NA
Corylus avellana,S,0.001590431,125,NA,NA,NA,NA,NA
Corylus ferox,NA,0.001520531,49,NA,NA,NA,NA,NA
Corynocarpus laevigata,NA,0.003971759,15.5,NA,NA,NA,NA,NA
Cosmelia rubra,NA,0.000132732,552,NA,NA,NA,NA,NA
Cotoneaster granatensis,NA,0.000415476,345,NA,NA,NA,NA,NA
Cotoneaster integerrimus,S,0.000490874,420,NA,NA,NA,NA,NA
Cotoneaster microphyllus,NA,0.000572555,342,NA,NA,NA,NA,NA
Cotoneaster multiflorus,NA,0.000490874,220,NA,NA,NA,NA,NA
Cotoneaster nummularius,NA,0.000314159,500,NA,NA,NA,NA,NA
Couratari guianensis,T,0.028352874,4,1,0,0,Tree,Arbor
Couroupita guianensis,T,0.059395736,4,1,0,0,Tree,Arbor
Couroupita nicaraguarensis,NA,0.043373614,5,1,0,0,Tree,Arbor
Couroupita subsessilis,NA,0.033006358,3,1,0,0,Tree,Arbor
Craibiodendron stellatum,NA,0.001885741,106,NA,NA,NA,NA,NA
Crataegus aronia,NA,0.000994707,217.5,NA,NA,NA,NA,NA
Crataegus aurantia,NA,0.000572555,304,NA,NA,NA,NA,NA
Crataegus azarolus,NA,0.001207157,250,NA,NA,NA,NA,NA
Crataegus calycina,NA,0.001256637,250,NA,NA,NA,NA,NA
Crataegus cuneata,S,0.000804248,197,NA,NA,NA,NA,NA
Crataegus douglasii,T,0.001256637,192,NA,NA,NA,NA,NA
Crataegus hupehensis,NA,0.000735525,190.5,NA,NA,NA,NA,NA
Crataegus laciniata,NA,0.001256637,300,NA,NA,NA,NA,NA
Crataegus maximowiczii,NA,0.000380133,520,NA,NA,NA,NA,NA
Crataegus monogyna,S,0.000635387,214.5,NA,NA,NA,NA,NA
Crataegus oresbia,NA,0.000572555,456,NA,NA,NA,NA,NA
Crataegus oxycantha,NA,0.001194591,192,NA,NA,NA,NA,NA
Crataegus pinnatifida,S,0.000892998,213,NA,NA,NA,NA,NA
Crataegus pycnoloba,NA,0.000706858,384,NA,NA,NA,NA,NA
Crataegus shensiensis,NA,0.00066052,222,NA,NA,NA,NA,NA
Crataegus sinaica,NA,0.000881609,217.5,NA,NA,NA,NA,NA
Crataegus wattiana,NA,0.000855299,140,NA,NA,NA,NA,NA
Crataegus wilsonii,NA,0.000754768,184,NA,NA,NA,NA,NA
Cratoxylum arborescens,NA,0.031415927,7,NA,NA,NA,NA,NA
Crossandra poissonii,NA,0.005674502,16,NA,NA,NA,NA,NA
Cryptocarya caloneura,NA,0.022698007,5,NA,NA,NA,NA,NA
Cryptocarya minutifolia,NA,0.006361725,14,NA,NA,NA,NA,NA
Cryptocarya natalensis,NA,0.009503318,48,NA,NA,NA,NA,NA
Cuervea kappleriana,NA,0.028352874,8,0,0,1,Liana,Liana
Cupularia viscosa,NA,0.000855299,70,NA,NA,NA,NA,NA
Curtisia dentata,T,0.002123717,45,NA,NA,NA,NA,NA
Cuviera longiflora,NA,0.001963495,47,NA,NA,NA,NA,NA
Cuviera nigrescens,NA,0.001256637,32,NA,NA,NA,NA,NA
Cyathodes glauca,NA,0.000452389,76,NA,NA,NA,NA,NA
Cydista aequinoctialis,C,0.010568318,32,0,0,1,Liana,Liana
Cydonia oblonga,S_T,0.001134115,150,0,1,0,Shrub,Arbor
Cylicomorpha parviflora,NA,0.010568318,34,NA,NA,NA,NA,NA
Cynometra inaequifolia,NA,0.028352874,4,NA,NA,NA,NA,NA
Cynometra ramiflora,S_T,0.028352874,4,NA,NA,NA,NA,NA
Cynometra vogelii,NA,0.009503318,13,NA,NA,NA,NA,NA
Cytisus villosus,NA,0.001134115,96,NA,NA,NA,NA,NA
Dactylocladus stenostachys,NA,0.031415927,4,NA,NA,NA,NA,NA
Dalbergia congestiflora,NA,0.01911345,8,1,0,0,Tree,Arbor
Dalbergia funera,NA,0.009503318,13,NA,NA,NA,NA,NA
Dalbergia granadillo,NA,0.031415927,5,NA,NA,NA,NA,NA
Dalbergia latifolia,NA,0.012271846,4.5,NA,NA,NA,NA,NA
Dalbergia madagascariensis,NA,0.061575216,4,NA,NA,NA,NA,NA
Dalbergia maritima,NA,0.031415927,3,NA,NA,NA,NA,NA
Dalbergia melanoxylon,NA,0.013273229,7,NA,NA,NA,NA,NA
Dalbergia nigra,NA,0.024052819,4,NA,NA,NA,NA,NA
Dalbergia retusa,T,0.031415927,4,1,0,0,Tree,Arbor
Dalbergia spruceana,NA,0.03630503,5,1,0,0,Tree,Arbor
Dalbergia stevensonii,NA,0.038013271,5,1,0,0,Tree,Arbor
Dalbergia tucurensis,NA,0.057255526,5,1,0,0,Tree,Arbor
Daniellia oliveri,T,0.033006358,3,NA,NA,NA,NA,NA
Daphniphyllum himalayense,NA,0.001256637,158,NA,NA,NA,NA,NA
Davidia involucrata,NA,0.002123717,85,NA,NA,NA,NA,NA
Delavaya toxocarpa,NA,0.007853982,27,NA,NA,NA,NA,NA
Dendromecon rigida,NA,0.002284723,172.5,0,1,0,Shrub,Arbor
Deplanchea tetraphylla,NA,0.013273229,4,NA,NA,NA,NA,NA
Derris amazonica,C,0.096211275,9.5,0,0,1,Liana,Liana
Detarium microcarpum,T,0.031415927,9,NA,NA,NA,NA,NA
Detarium senegalense,T,0.040251656,5.5,NA,NA,NA,NA,NA
Dialium guineense,T,0.014313882,9,1,0,0,Tree,Arbor
Dialium platysepalum,NA,0.041626103,4.5,NA,NA,NA,NA,NA
Dicentra chrysantha,NA,0.006939778,37,NA,NA,NA,NA,NA
Dichotomanthes tristaniaecarpa,NA,0.001256637,187,NA,NA,NA,NA,NA
Dichrostachys cinerea,S_T,0.015393804,13,NA,NA,NA,NA,NA
Dicorynia guianensis,T,0.047143525,4,NA,NA,NA,NA,NA
Diegodendron humbertii,NA,0.000962113,86,NA,NA,NA,NA,NA
Dilobeia thouarsii,NA,0.029864765,3,NA,NA,NA,NA,NA
Dimocarpus longan,S_T,0.007542964,14,1,0,0,Tree,Arbor
Dinizia excelsa,T,0.0254469,5,1,0,0,Tree,Arbor
Diospyros amboinensis,NA,0.007238229,9,NA,NA,NA,NA,NA
Diospyros egrettarum,NA,0.001256637,26,NA,NA,NA,NA,NA
Diospyros revaughanii,NA,0.000855299,24,NA,NA,NA,NA,NA
Diospyros virginiana,T,0.01183006,13,NA,NA,NA,NA,NA
Diplopanax stachyanthus,NA,0.001885741,117,NA,NA,NA,NA,NA
Diplycosia heterophylla,NA,0.025164943,18,NA,NA,NA,NA,NA
Dipteryx odorata,T,0.024052819,8,1,0,0,Tree,Arbor
Distemonanthus benthamianus,T,0.0254469,7,NA,NA,NA,NA,NA
Docynia indica,NA,0.001194591,103,NA,NA,NA,NA,NA
Dodonaea viscosa,S,0.002457511,44.7,1,1,0,2,Arbor
Doerpfeldia cubensis,NA,0.004071504,11,NA,NA,NA,NA,NA
Dolichandrone falcata,NA,0.008494867,20,NA,NA,NA,NA,NA
Dolichandrone spathacea,NA,0.005273556,10.5,NA,NA,NA,NA,NA
Dracaena concinna,NA,0.001661903,80,NA,NA,NA,NA,NA
Dracontomelon dao,NA,0.031415927,3,NA,NA,NA,NA,NA
Dracophyllum longifolium,S,0.000239546,421.5,NA,NA,NA,NA,NA
Dracophyllum oliveri,NA,0.000176715,507,NA,NA,NA,NA,NA
Dracophyllum palustre,S,0.000201062,318,NA,NA,NA,NA,NA
Dracophyllum strictum,NA,0.000283529,518,NA,NA,NA,NA,NA
Dracophyllum subulatum,NA,0.00022698,208,NA,NA,NA,NA,NA
Dracophyllum traversii,NA,0.000283529,176,NA,NA,NA,NA,NA
Dracophyllum uniflorum,S,0.000706858,79,NA,NA,NA,NA,NA
Dracophyllum verticillatum,S_T,0.000804248,125,NA,NA,NA,NA,NA
Drymonia spectabilis,NA,0.017671459,18,1,0,0,Tree,Arbor
Drypetes diversifolia,NA,0.001452201,123,NA,NA,NA,NA,NA
Drypetes gossweileri,T,0.010386891,11,NA,NA,NA,NA,NA
Drypetes lateriflora,T,0.002042821,72,1,0,0,Tree,Arbor
Duabanga grandiflora,NA,0.023778715,5,NA,NA,NA,NA,NA
Duabanga moluccana,NA,0.046913403,5,NA,NA,NA,NA,NA
Duckeodendron cestroides,NA,0.027464588,10,1,0,0,Tree,Arbor
Dyera costulata,NA,0.015393804,7,NA,NA,NA,NA,NA
Dysoxylum spectabile,NA,0.003216991,8.5,NA,NA,NA,NA,NA
Elachyptera floribunda,NA,0.021382465,11,0,0,1,Liana,Liana
Elachyptera parvifolia,NA,0.021382465,11,NA,NA,NA,NA,NA
Elaeocarpus dentatus,NA,0.002290221,48.5,NA,NA,NA,NA,NA
Elaeocarpus dolichostylus,NA,0.018145839,5,NA,NA,NA,NA,NA
Elaeocarpus hookerianus,T,0.002290221,164,NA,NA,NA,NA,NA
Elaeocarpus japonicus,T,0.002290221,104,NA,NA,NA,NA,NA
Elaeocarpus robustus,NA,0.015836769,12,NA,NA,NA,NA,NA
Elaeodendron orientale,NA,0.001661903,80,NA,NA,NA,NA,NA
Eleutherococcus cissifolius,NA,0.001963495,116,NA,NA,NA,NA,NA
Engelhardtia spicata,NA,0.008659015,4,NA,NA,NA,NA,NA
Entandrophragma angolense,NA,0.034636059,4,NA,NA,NA,NA,NA
Entandrophragma candollei,T,0.022698007,4,NA,NA,NA,NA,NA
Entandrophragma cylindricum,NA,0.015393804,13,NA,NA,NA,NA,NA
Entandrophragma utile,NA,0.041547563,5,NA,NA,NA,NA,NA
Enterolobium contortisiliquum,T,0.031415927,4,1,0,0,Tree,Arbor
Epacris impressa,NA,0.000530929,242,NA,NA,NA,NA,NA
Epacris juniperina,NA,0.000754768,79,NA,NA,NA,NA,NA
Epacris tameiameiae,NA,0.00088318,151.5,NA,NA,NA,NA,NA
Ephedranthus guianensis,NA,0.004417865,18,1,0,0,Tree,Arbor
Eriastrum densifolium,S,0.001122325,565.6,NA,NA,NA,NA,NA
Eriobotrya cavaleriei,NA,0.002206183,49,NA,NA,NA,NA,NA
Eriobotrya deflexa,NA,0.001134115,160,NA,NA,NA,NA,NA
Eriobotrya fragrans,NA,0.000754768,142,NA,NA,NA,NA,NA
Eriobotrya japonica,S_T,0.000572555,197,1,0,0,Tree,Arbor
Erythrophleum ivorense,T,0.039760782,5,NA,NA,NA,NA,NA
Erythroxylum amazonicum,NA,0.002733971,31,1,0,0,Tree,Arbor
Erythroxylum amplifolium,NA,0.001256637,119,NA,NA,NA,NA,NA
Erythroxylum amplum,NA,0.001590431,85,0,1,0,Shrub,Arbor
Erythroxylum ampullaceum,NA,0.005026548,24,NA,NA,NA,NA,NA
Erythroxylum argentinum,NA,0.001452201,137,0,1,0,Shrub,Arbor
Erythroxylum australe,NA,0.001452201,144,NA,NA,NA,NA,NA
Erythroxylum brevipes,NA,0.001017876,119,0,1,0,Shrub,Arbor
Erythroxylum campinense,NA,0.001256637,130,NA,NA,NA,NA,NA
Erythroxylum carthagenense,NA,0.002827433,57,NA,NA,NA,NA,NA
Erythroxylum cataractarum,NA,0.002463009,49,0,1,0,Shrub,Arbor
Erythroxylum citrifolium,NA,0.002375829,62,1,1,0,2,Arbor
Erythroxylum coca,NA,0.001452201,102,0,1,0,Shrub,Arbor
Erythroxylum confusum,T,0.001963495,86,1,0,0,Tree,Arbor
Erythroxylum corymbosum,NA,0.003525652,44,NA,NA,NA,NA,NA
Erythroxylum cuatrecasasii,NA,0.002922467,64,NA,NA,NA,NA,NA
Erythroxylum cumanense,T,0.001385442,149,1,0,0,Tree,Arbor
Erythroxylum cuneatum,NA,0.004778362,29,NA,NA,NA,NA,NA
Erythroxylum cuneifolium,NA,0.001134115,141,1,1,0,2,Arbor
Erythroxylum deciduum,NA,0.00453646,34,1,0,0,Tree,Arbor
Erythroxylum delagoense,NA,0.001520531,112,NA,NA,NA,NA,NA
Erythroxylum densum,T,0.001320254,98,NA,NA,NA,NA,NA
Erythroxylum ecarinatum,NA,0.014102609,17,NA,NA,NA,NA,NA
Erythroxylum elegans,NA,0.002733971,62,NA,NA,NA,NA,NA
Erythroxylum ellipticum,T,0.001809557,129,NA,NA,NA,NA,NA
Erythroxylum fimbriatum,T,0.001194591,99,1,1,0,2,Arbor
Erythroxylum glaucum,NA,0.001661903,99,1,1,0,2,Arbor
Erythroxylum haughtii,NA,0.001590431,113,0,1,0,Shrub,Arbor
Erythroxylum havanense,NA,0.000855299,177,0,1,0,Shrub,Arbor
Erythroxylum hypericifolium,NA,0.010568318,14,NA,NA,NA,NA,NA
Erythroxylum kapplerianum,NA,0.001194591,90,NA,NA,NA,NA,NA
Erythroxylum lanceum,NA,0.001017876,152,NA,NA,NA,NA,NA
Erythroxylum laurifolium,NA,0.001734945,80,NA,NA,NA,NA,NA
Erythroxylum lineolatum,NA,0.002206183,72,NA,NA,NA,NA,NA
Erythroxylum longifolium,NA,0.001452201,110,NA,NA,NA,NA,NA
Erythroxylum lucidum,NA,0.001661903,79,1,0,0,Tree,Arbor
Erythroxylum macrocarpum,NA,0.002123717,82,NA,NA,NA,NA,NA
Erythroxylum macrocnemium,NA,0.001661903,74,0,1,0,Shrub,Arbor
Erythroxylum macrophyllum,T,0.002551759,77,1,1,0,2,Arbor
Erythroxylum mamacoca,NA,0.000962113,137,0,1,0,Shrub,Arbor
Erythroxylum mannii,NA,0.005944679,30,NA,NA,NA,NA,NA
Erythroxylum mexicanum,NA,0.002290221,74,1,0,0,Tree,Arbor
Erythroxylum microphyllum,S,0.001452201,121,1,0,0,Tree,Arbor
Erythroxylum monogynum,NA,0.002290221,72,NA,NA,NA,NA,NA
Erythroxylum mucronatum,NA,0.002290221,69,1,1,0,2,Arbor
Erythroxylum myrsinites,NA,0.00107521,140,NA,NA,NA,NA,NA
Erythroxylum novogranatense,NA,0.001886526,94.5,1,1,0,2,Arbor
Erythroxylum orinocense,T,0.001256637,145,0,1,0,Shrub,Arbor
Erythroxylum pacificum,NA,0.000804248,262,1,0,0,Tree,Arbor
Erythroxylum panamense,T,0.001017876,145,0,1,0,Shrub,Arbor
Erythroxylum pelleterianum,NA,0.001320254,61,0,1,0,Shrub,Arbor
Erythroxylum pulchrum,NA,0.001590431,59,NA,NA,NA,NA,NA
Erythroxylum raimondii,NA,0.001809557,92,1,1,0,2,Arbor
Erythroxylum rufum,NA,0.001885741,108,1,0,0,Tree,Arbor
Erythroxylum shatona,NA,0.00090792,171,1,0,0,Tree,Arbor
Erythroxylum squamatum,NA,0.001885741,66,1,1,0,2,Arbor
Erythroxylum steyermarkii,NA,0.001520531,119,NA,NA,NA,NA,NA
Erythroxylum suberosum,NA,0.002123717,79,1,1,0,2,Arbor
Erythroxylum ulei,NA,0.002042821,67,1,1,0,2,Arbor
Erythroxylum undulatum,NA,0.001320254,90,NA,NA,NA,NA,NA
Erythroxylum vernicosum,NA,0.001320254,129,NA,NA,NA,NA,NA
Erythroxylum williamsii,NA,0.001452201,166,0,1,0,Shrub,Arbor
Espadaea amoena,NA,0.002922467,31,NA,NA,NA,NA,NA
Eucalyptus baxteri,T,0.014313882,9,NA,NA,NA,NA,NA
Eucalyptus consideneana,NA,0.015393804,8,NA,NA,NA,NA,NA
Eucalyptus deglupta,NA,0.045238934,7,1,0,0,Tree,Arbor
Eucalyptus delegatensis,S_T,0.017203361,5,NA,NA,NA,NA,NA
Eucalyptus diversicolor,S_T,0.021382465,7,NA,NA,NA,NA,NA
Eucalyptus globoidea,T,0.013273229,10,NA,NA,NA,NA,NA
Eucalyptus globulus,S_T,0.022698007,12,1,0,0,Tree,Arbor
Eucalyptus grandis,S_T,0.004592808,83.5,1,0,0,Tree,Arbor
Eucalyptus macrorhyncha,S_T,0.008659015,15,NA,NA,NA,NA,NA
Eucalyptus muelleriana,S_T,0.013273229,10,NA,NA,NA,NA,NA
Eucalyptus obliqua,T,0.018626503,6,NA,NA,NA,NA,NA
Eucalyptus regnans,S_T,0.020106193,5,NA,NA,NA,NA,NA
Eucalyptus sieberi,T,0.015393804,9,NA,NA,NA,NA,NA
Eucommia ulmoides,NA,0.000615752,300,NA,NA,NA,NA,NA
Eucryphia cordifolia,T,0.001256637,118,NA,NA,NA,NA,NA
Eucryphia glutinosa,NA,0.001134115,139,NA,NA,NA,NA,NA
Eucryphia jinksii,NA,0.001194591,107,NA,NA,NA,NA,NA
Eucryphia lucida,NA,0.001320254,124,NA,NA,NA,NA,NA
Eucryphia milliganii,NA,0.00090792,140,NA,NA,NA,NA,NA
Eucryphia moorei,NA,0.001256637,111,NA,NA,NA,NA,NA
Eucryphia wilkiei,NA,0.000754768,140,NA,NA,NA,NA,NA
Eugenia lucida,NA,0.000254469,100,NA,NA,NA,NA,NA
Eugenia tinifolia,NA,0.000254469,121,NA,NA,NA,NA,NA
Euonymus amygdalifolius,NA,0.000314159,488,NA,NA,NA,NA,NA
Euonymus echinatus,NA,0.001256637,144,NA,NA,NA,NA,NA
Euonymus fimbriatus,NA,0.000530929,472,NA,NA,NA,NA,NA
Euonymus pendulus,NA,0.000530929,188,NA,NA,NA,NA,NA
Euonymus sanguineus,NA,0.000283529,470,NA,NA,NA,NA,NA
Euonymus tingens,NA,0.000452389,334,NA,NA,NA,NA,NA
Euphorbia atropurpurea,NA,0.000855299,16,NA,NA,NA,NA,NA
Euphorbia balsamifera,NA,0.002375829,9,NA,NA,NA,NA,NA
Euphorbia calycina,NA,0.001590431,15,NA,NA,NA,NA,NA
Euphorbia cotinifolia,NA,0.003848451,9,0,1,0,Shrub,Arbor
Euphorbia dendroides,NA,0.001134115,37,NA,NA,NA,NA,NA
Euphorbia ingens,NA,0.004417865,5,NA,NA,NA,NA,NA
Euphorbia oncoclada,NA,0.004417865,10,NA,NA,NA,NA,NA
Euphorbia poissoni,NA,0.001963495,9,NA,NA,NA,NA,NA
Euphorbia schlechtendalii,S,0.006361725,19,0,1,0,Shrub,Arbor
Euphorbia tirucalli,H,0.001256637,8,0,1,0,Shrub,Arbor
Eurya acuminata,NA,0.002350697,90,NA,NA,NA,NA,NA
Eurya acuminatissima,NA,0.001256637,198,NA,NA,NA,NA,NA
Eurya alata,NA,0.001590431,112,NA,NA,NA,NA,NA
Eurya brevistyla,S,0.000962113,179,NA,NA,NA,NA,NA
Eurya cavinervis,NA,0.000804248,133,NA,NA,NA,NA,NA
Eurya cerasifolia,NA,0.001590431,123,NA,NA,NA,NA,NA
Eurya ciliata,NA,0.002375829,136,NA,NA,NA,NA,NA
Eurya hebeclados,NA,0.001452201,126,NA,NA,NA,NA,NA
Eurya impressinervis,NA,0.000962113,178,NA,NA,NA,NA,NA
Eurya japonica,S,0.000962113,158,NA,NA,NA,NA,NA
Eurya macartneyi,NA,0.001590431,162,NA,NA,NA,NA,NA
Eurya megatrichocarpa,NA,0.003848451,39,NA,NA,NA,NA,NA
Eurya muricata,NA,0.000962113,185,NA,NA,NA,NA,NA
Eurya nitida,NA,0.001452201,155,NA,NA,NA,NA,NA
Eurya obovata,NA,0.002827433,95,NA,NA,NA,NA,NA
Eurya tigang,NA,0.003369751,72.5,NA,NA,NA,NA,NA
Eurya trichocarpa,NA,0.004417865,51,NA,NA,NA,NA,NA
Eurya tsaii,NA,0.001590431,108,NA,NA,NA,NA,NA
Eurycorymbus cavaleriei,NA,0.007088218,10,NA,NA,NA,NA,NA
Eusideroxylon zwageri,T,0.033666092,5,NA,NA,NA,NA,NA
Exocarpos bidwillii,NA,0.000490874,180,NA,NA,NA,NA,NA
Fadogia schmitzii,NA,0.001138827,183,NA,NA,NA,NA,NA
Fadogiella stigmatoloba,NA,0.00198313,103.5,NA,NA,NA,NA,NA
Fagonia mollis,NA,0.000855299,200,NA,NA,NA,NA,NA
Fagraea fragrans,T,0.017671459,12,NA,NA,NA,NA,NA
Fagraea gracilipes,NA,0.020358306,5,NA,NA,NA,NA,NA
