gs,growthForm,vesselSize,vesselNumber,Tree,Shrub,Liana,GF3,GF2
Andromeda polifolia,S,0.00022698,546,NA,NA,NA,NA,NA
Anemopaegma carrerense,NA,0.003739281,77,NA,NA,NA,NA,NA
Anemopaegma robustum,NA,0.001194591,49,0,0,1,Liana,Liana
Anopyxis klaineana,NA,0.03630503,3,NA,NA,NA,NA,NA
Anthodon decussatum,C,0.0254469,13,1,0,1,2,0
Antiaris toxicaria,T,0.02958752,10,1,0,0,Tree,Arbor
Apeiba echinata,T,0.022167078,3,1,0,0,Tree,Arbor
Apeiba glabra,NA,0.021124069,2,NA,NA,NA,NA,NA
Apeiba membranacea,T,0.018385386,3,1,0,0,Tree,Arbor
Apeiba tibourbou,T,0.015836769,3,1,0,0,Tree,Arbor
Aphananthe aspera,S,0.015393804,8,NA,NA,NA,NA,NA
Aphelandra deppeana,NA,0.000706858,150,0,1,0,Shrub,Arbor
Apodostigma pallens,NA,0.021382465,15,NA,NA,NA,NA,NA
Apterosperma oblata,NA,0.000706858,282,NA,NA,NA,NA,NA
Apuleia leiocarpa,T,0.007853982,25,1,0,0,Tree,Arbor
Aralidium pinnatifidum,NA,0.006221139,18,NA,NA,NA,NA,NA
Arbutus andrachne,S,0.001809557,100,NA,NA,NA,NA,NA
Archboldiodendron merrillianum,NA,0.005410608,33,NA,NA,NA,NA,NA
Archidendron aruense,NA,0.012271846,5,NA,NA,NA,NA,NA
Archidendron lucyi,NA,0.012271846,4,NA,NA,NA,NA,NA
Argemone fruticosa,NA,0.00022698,412,NA,NA,NA,NA,NA
Argemone turnerae,NA,0.00107521,59,NA,NA,NA,NA,NA
Aristolochia californica,NA,0.006082123,68,NA,NA,NA,NA,NA
Aristolochia griffithii,NA,0.002042821,92,NA,NA,NA,NA,NA
Aristolochia iquitensis,NA,0.005674502,36,0,0,1,Liana,Liana
Aristolochia islandica,NA,0.001320254,189,NA,NA,NA,NA,NA
Aristolochia sipho,NA,0.003525652,201,NA,NA,NA,NA,NA
Aristolochia triactina,NA,0.019807742,15.5,NA,NA,NA,NA,NA
Aristotelia fruticosa,S,0.000615752,151,NA,NA,NA,NA,NA
Aristotelia serrata,T,0.001520531,79,NA,NA,NA,NA,NA
Armeniaca mandshurica,NA,0.001134115,162,NA,NA,NA,NA,NA
Armeniaca mume,NA,0.001091546,170.8,NA,NA,NA,NA,NA
Armeniaca sibirica,T,0.000804248,175,NA,NA,NA,NA,NA
Arrabidaea chica,C,0.004417865,64,0,0,1,Liana,Liana
